"","ERR688505_500K_merged_Abundance","ERR688506_500K_merged_Abundance","ERR688507_500K_merged_Abundance","ERR688508_500K_merged_Abundance","ERR688509_500K_merged_Abundance","ERR688510_500K_merged_Abundance","ERR688511_500K_merged_Abundance","ERR688512_500K_merged_Abundance","ERR688513_500K_merged_Abundance","ERR688514_500K_merged_Abundance","ERR688515_500K_merged_Abundance","ERR688516_500K_merged_Abundance","ERR688517_500K_merged_Abundance","ERR688518_500K_merged_Abundance","ERR688519_500K_merged_Abundance","ERR688520_500K_merged_Abundance","ERR688521_500K_merged_Abundance","ERR688522_500K_merged_Abundance","ERR688523_500K_merged_Abundance","ERR688524_500K_merged_Abundance","ERR688525_500K_merged_Abundance","ERR688526_500K_merged_Abundance","ERR688527_500K_merged_Abundance","ERR688528_500K_merged_Abundance","ERR688529_500K_merged_Abundance","ERR688530_500K_merged_Abundance","ERR688531_500K_merged_Abundance","ERR688532_500K_merged_Abundance","ERR688533_500K_merged_Abundance","ERR688534_500K_merged_Abundance","ERR688535_500K_merged_Abundance","ERR688536_500K_merged_Abundance","ERR688537_500K_merged_Abundance","ERR688538_500K_merged_Abundance","ERR688539_500K_merged_Abundance","ERR688540_500K_merged_Abundance","ERR688541_500K_merged_Abundance","ERR688542_500K_merged_Abundance","ERR688543_500K_merged_Abundance","ERR688544_500K_merged_Abundance","ERR688545_500K_merged_Abundance","ERR688546_500K_merged_Abundance","ERR688547_500K_merged_Abundance","ERR688548_500K_merged_Abundance","ERR688549_500K_merged_Abundance","ERR688550_500K_merged_Abundance","ERR688551_500K_merged_Abundance","ERR688552_500K_merged_Abundance","ERR688553_500K_merged_Abundance","ERR688554_500K_merged_Abundance","ERR688555_500K_merged_Abundance","ERR688556_500K_merged_Abundance","ERR688557_500K_merged_Abundance","ERR688558_500K_merged_Abundance","ERR688559_500K_merged_Abundance","ERR688560_500K_merged_Abundance","ERR688561_500K_merged_Abundance","ERR688562_500K_merged_Abundance","ERR688563_500K_merged_Abundance","ERR688564_500K_merged_Abundance","ERR688565_500K_merged_Abundance","ERR688566_500K_merged_Abundance","ERR688567_500K_merged_Abundance","ERR688568_500K_merged_Abundance","ERR688569_500K_merged_Abundance","ERR688570_500K_merged_Abundance","ERR688571_500K_merged_Abundance","ERR688572_500K_merged_Abundance","ERR688573_500K_merged_Abundance","ERR688574_500K_merged_Abundance","ERR688575_500K_merged_Abundance","ERR688576_500K_merged_Abundance","ERR688577_500K_merged_Abundance","ERR688578_500K_merged_Abundance","ERR688579_500K_merged_Abundance","ERR688580_500K_merged_Abundance","ERR688581_500K_merged_Abundance","ERR688582_500K_merged_Abundance","ERR688583_500K_merged_Abundance","ERR688584_500K_merged_Abundance","ERR688585_500K_merged_Abundance","ERR688586_500K_merged_Abundance","ERR688587_500K_merged_Abundance","ERR688588_500K_merged_Abundance","ERR688589_500K_merged_Abundance","ERR688590_500K_merged_Abundance","ERR688591_500K_merged_Abundance","ERR688592_500K_merged_Abundance","ERR688593_500K_merged_Abundance","ERR688594_500K_merged_Abundance","ERR688595_500K_merged_Abundance","ERR688596_500K_merged_Abundance","ERR688597_500K_merged_Abundance","ERR688598_500K_merged_Abundance","ERR688599_500K_merged_Abundance","ERR688600_500K_merged_Abundance","ERR688601_500K_merged_Abundance","ERR688602_500K_merged_Abundance","ERR688603_500K_merged_Abundance","ERR688604_500K_merged_Abundance","ERR688605_500K_merged_Abundance","ERR688606_500K_merged_Abundance","ERR688607_500K_merged_Abundance","ERR688608_500K_merged_Abundance","ERR688609_500K_merged_Abundance","ERR688610_500K_merged_Abundance","ERR688611_500K_merged_Abundance","ERR688612_500K_merged_Abundance","ERR688613_500K_merged_Abundance","ERR688614_500K_merged_Abundance","ERR688615_500K_merged_Abundance","ERR688616_500K_merged_Abundance","ERR688617_500K_merged_Abundance","ERR688618_500K_merged_Abundance","ERR688619_500K_merged_Abundance","ERR688620_500K_merged_Abundance","ERR688621_500K_merged_Abundance","ERR688622_500K_merged_Abundance","ERR688623_500K_merged_Abundance","ERR688624_500K_merged_Abundance","ERR688625_500K_merged_Abundance","ERR688626_500K_merged_Abundance","ERR688627_500K_merged_Abundance","ERR688628_500K_merged_Abundance","ERR688629_500K_merged_Abundance","ERR688630_500K_merged_Abundance","ERR688631_500K_merged_Abundance","ERR688632_500K_merged_Abundance","ERR688633_500K_merged_Abundance","ERR688634_500K_merged_Abundance","ERR688635_500K_merged_Abundance","ERR688636_500K_merged_Abundance","ERR688637_500K_merged_Abundance","ERR688638_500K_merged_Abundance","ERR688639_500K_merged_Abundance","ERR688640_500K_merged_Abundance","ERR688641_500K_merged_Abundance","ERR688642_500K_merged_Abundance","ERR688643_500K_merged_Abundance","ERR688644_500K_merged_Abundance","ERR688645_500K_merged_Abundance","ERR688646_500K_merged_Abundance","ERR688647_500K_merged_Abundance","ERR688648_500K_merged_Abundance","ERR688649_500K_merged_Abundance","ERR688650_500K_merged_Abundance","ERR688651_500K_merged_Abundance","ERR710424_500K_merged_Abundance","ERR710425_500K_merged_Abundance","ERR710426_500K_merged_Abundance","ERR710427_500K_merged_Abundance","ERR710428_500K_merged_Abundance","ERR710429_500K_merged_Abundance","ERR710430_500K_merged_Abundance","ERR710431_500K_merged_Abundance","ERR710432_500K_merged_Abundance"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000447299,0.000297591,0.00045432,0.00033964,0.000631406,0.000497398,0.000550314,0.000505239,0.000457828,0.000264545,0.000332654,0.000494997,0.000240644,0.00044959,0.000648156,0.000645826,0.000484556,0.000437121,0.000477079,0.000168889,0.000302629,0.000479106,0.0003016,0.000311159,0.000222559,0.000562031,0.000540266,0.000533155,0.000489859,0.0003849,0.000619912,0.000301878,0.000539784,0.000424564,0.000459665,0.000325177,0.000278126,0.00057116,0.000367402,0.000287517,0.000301589,0.000432844,0.000431574,0.000396131,0.000406129,0.000518242,0.000254149,0.000523649,0.000308826,0.000576647,0.000514194,0.000425618,0.00042417,0.000518839,0.000429186,0.000513262,0.000518245,0.000530758,0.000502295,0.000422307,0.0002232,0.000644238,0.000361775,0.000350927,0.000320585,0.000187162,0.000399431,0.000541375,0.000427335,0.00037379,0.000271251,0.000304415,0.000315897,0.000232992,0.000266136,0.000415813,0.000317655,0.000191592,0.000245485,0.000635136,0.000451489,0.00027831,0.000500978,0.000690631,0.000442234,0.000286166,0.000535727,0.000364739,0.000392306,0.000632144,0.000415184,0.000397242,0.000369113,0.000593647,0.000609523,0.000207512,0.000479896,0.000509835,0.000505615,0.000346066,0.000436851,0.000449759,0.000498169,0.000473576,0.000365898,0.00024785,0.000398018,0.000439979,0.000523581,0.000226016,0.000659764,0.000489083,0.000609043,0.000342617,0.000315737,0.000670369,0.000555558,0.000394119,0.000472837,0.000380924,0.000469843,0.000223318,0.000219763,0.000453632,0.000307515,0.000308159,0.000397484,0.000391737,0.0002603,0.000208902,0.000203922,0.000393271,0.000409113,0.000337386,0.000250362,0.000291603,0.000355939,0.0002698,0.000372877,0.000475773,0.000338472,0.000436901,0.000417475,0.000454179,0.000278204,0.000395721,0.00034223,0.000310252,0.00037194,0.000348558,0.000291159,0.000362428,0.000331418,0.000435582,0.000305998,0.000252422
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.000371597,0.000215073,0.00032312,0.000397727,0.000364614,0.000385697,0.00042164,0.00038446,0.000298958,0.000174384,6.85123e-05,0.000285936,0.000288396,0.000239971,0.000461432,0.000264254,0.00037698,0.000322217,0.000290591,9.87072e-05,0.000159102,0.000455356,0.00021181,0.00010205,0.000191614,0.000295833,0.000459822,0.000446371,0.000336527,0.000223574,0.000400237,0.000316662,0.000405092,0.000375685,0.000409126,0.000254029,0.000308578,0.000341418,0.000313442,0.000132303,0.000191693,0.000256074,8.12013e-05,0.000253918,0.000365339,0.000355594,0.000226149,0.000363443,0.000280263,0.000529694,0.000351456,0.000362544,0.000224251,0.000234743,0.000239213,0.00033783,0.000411653,0.000361868,0.00039762,0.00027637,0.000213941,0.000355822,0.00032396,0.000276883,0.000281486,0.000140486,0.000326269,0.00035416,0.000279313,0.000264274,0.000298865,0.000246321,0.000229084,0.000251435,0.000231278,0.000322258,0.000393876,0,0.000141285,0.000422574,0.000369566,0.000285494,0.000323658,0.000492262,0.00029343,0.000237139,0.000392608,0.000254203,0.000154044,0.00049521,0.000235161,0.000396412,0.000171214,0.000465798,0.000516429,0,0.000286529,0.000315575,0.000275409,0.000196106,0.000367042,0.000435477,0.00026665,0.000233754,0.000180763,0.00014763,0.000302879,0.000324767,0.000252925,0.000187405,0.000599917,0.00038334,0.000399156,0.000238856,0.000283003,0.000320201,0.000322856,0.00028879,0.000291072,0.000272594,0.000317618,0.000160502,0.000225904,0.000329533,0.000334546,0.000168139,0.000278255,0.00032264,0.000169812,0.000231446,0.000206191,0.000313969,4.56991e-05,0.000255016,0.000392869,0.000262039,0.000326331,0.000255955,0.00018441,0.000348964,0.000287382,0.000245126,0.000309242,0.000547392,0.000278066,0.00041352,0.000210068,0.000277511,0.000396758,0.000266364,0.000216484,0.000259398,0.000313185,0.000375121,7.10769e-05,0.000222457
"PWY-6124: inosine-5'-phosphate biosynthesis II",0.00036071,0.000199442,0.000292637,0.000390762,0.00034024,0.000353269,0.000397726,0.00037707,0.000280256,0.000158316,5.98846e-05,0.000273354,0.000291569,0.000215519,0.00044183,0.000235883,0.000348469,0.000301854,0.000263058,8.77074e-05,0.000141941,0.000442533,0.000194522,8.82616e-05,0.000176668,0.000269861,0.000426832,0.000454083,0.000348627,0.000239131,0.000379029,0.000297012,0.000365838,0.000345174,0.000378722,0.000236931,0.000311095,0.000328832,0.000304902,0.000119219,0.000180564,0.000242643,6.99067e-05,0.000247984,0.000338332,0.000329017,0.000213243,0.000344369,0.000258442,0.000537106,0.000323158,0.000346609,0.000218875,0.000224653,0.000220151,0.000317975,0.000404862,0.000346783,0.000374607,0.000262113,0.000205366,0.000323139,0.000341139,0.000247052,0.000264742,0.000131017,0.000314416,0.000328606,0.000261927,0.000246553,0.000279119,0.000224473,0.000226915,0.000238719,0.000236829,0.000224968,0.000393482,0,0.000136299,0.000406811,0.000374774,0.000274134,0.000304932,0.000455128,0.000285915,0.000220357,0.000367331,0.000329057,0.000135305,0.00047842,0.000241856,0.000392003,0.000150271,0.00043775,0.000482984,0,0.000265722,0.000286106,0.000246974,0.000193786,0.000366105,0.000484643,0.000254214,0.000210714,0.000164159,0.000138082,0.000280507,0.000309869,0.00024089,0.000176209,0.000588053,0.000355679,0.000385424,0.000227115,0.000270891,0.000300827,0.000299778,0.000272295,0.000269987,0.000266097,0.000299598,0.000152181,0.000218593,0.000300969,0.000320525,0.000157226,0.000261162,0.000103043,0.00015516,0.000216479,0.000187255,0.000288687,3.88801e-05,0.000183762,0.000374888,0.000254527,0.00030566,0.000247613,0.000165856,0.000333765,0.000281012,0.000221705,0.000297896,0.000536171,0.000268003,0.000409781,0.000192297,0.000260225,0.000404296,0.00024638,0.000202425,0.000247402,0.00028804,0.000356257,6.07175e-05,0.000208934
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",4.09362e-05,0,0,0,0,0.000115006,5.29978e-05,5.35729e-05,0.000245126,0,0,0.000230707,6.08323e-05,0.000124212,9.75357e-05,0.000132529,0,0,0.000103019,0,8.09705e-05,7.83245e-05,0,0,0,4.53135e-05,0.000100621,5.67196e-05,0.000137485,0.000186757,0.000146756,0,0,0,0,4.73071e-05,0.000231563,0,0.000317115,0,0,9.60384e-05,4.89621e-05,0.000245557,6.0224e-05,0,0,0,9.49102e-05,0.000282599,0.000265594,6.9931e-05,0.000175773,8.68441e-05,5.06917e-05,0.000284741,0,0,0,5.78944e-05,0,0,0.000106091,0,0.000192549,8.47513e-05,0.000107037,0,0.000102562,0,6.57157e-05,0,0.000196819,0.000135898,4.82766e-05,0.000179316,0.000334458,0,0.000169577,0,7.0684e-05,8.42746e-05,4.82262e-05,0,0.000295491,0.00011888,0,5.27345e-05,0,0,0.000186667,5.33904e-05,0,8.38224e-05,0.000140692,4.77549e-05,0,0,0,0.000155608,0.000115821,0,0,5.0183e-05,0.000163963,0.000123196,0.000125475,0.000315492,0.000197199,5.44985e-05,0.000200589,0.000110717,0.000163076,0.000155654,6.59552e-05,5.81565e-05,0.000126528,0.000129031,0.000141505,5.43127e-05,0,9.70548e-05,9.09043e-05,0,8.36485e-05,0.000108001,8.39491e-05,0.000166513,7.56345e-05,9.22269e-05,6.79931e-05,0,7.34685e-05,0.000221556,0.000197521,0.000102559,0,0.000205209,8.69187e-05,0.000465111,0.000225443,0,8.61451e-05,0.000546719,0.000104523,0.000262884,8.85415e-05,0.000148516,7.69635e-05,9.15202e-05,5.97644e-05,8.53483e-05,0.000105532,0.000246909,9.35699e-05,0.000143011
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",6.09949e-05,0,0,0,0,0.00015673,7.63395e-05,7.6405e-05,0.000287994,0,0,0.000305054,9.01928e-05,0.000166827,0.000137249,0.000185099,0,0,0.000136783,0,0.00010592,9.30767e-05,0,0,0,6.56708e-05,0.000138253,0.000115877,0.000183676,0.000212674,0.000195376,0,0,0,0,6.76916e-05,0.000267231,0,0.000322523,0,0,0.000129564,7.01988e-05,0.000275911,8.24623e-05,0,0,0,0.000120496,0.000364114,0.000351428,0.0001004,0.000219267,9.29527e-05,7.35098e-05,0.000338805,0,0,0,8.27414e-05,0,0,0.000145336,0,0.000236439,0.00011227,0.00014589,0,0.000143281,0,9.36648e-05,0,0.000249628,0.000184552,7.01164e-05,0.000221972,0.000388946,0,0.000197861,0,9.96112e-05,0.000119215,6.71766e-05,0,0.000357068,0.000159488,0,7.55575e-05,0,0,0.000256917,7.65066e-05,0,0.000115521,0.000193297,6.87324e-05,0,0,0,0.000220809,0.000151416,0,0,7.07217e-05,0.000168787,0.00018397,0.000167839,0.000360631,0.000250658,7.41407e-05,0.000267747,0.000154393,0.000223266,0.000204996,9.29717e-05,8.41897e-05,0.000164077,0.00016182,0.000186824,7.93001e-05,0,0.000126155,0.000132096,0,0.000116689,0.000149957,0.000116189,0.000204628,0.000108048,0.000127346,0.000100422,0,9.62892e-05,0.000223389,0.000287282,0.000166337,0,0.000255025,0.000104151,0.000536126,0.000284795,0,0.000117062,0.000622557,0.000145176,0.000330547,0.000118518,0.000196915,0.000109011,0.00011555,8.36663e-05,0.000123426,0.000143193,0.000301644,0.000121066,0.000177717
"PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6143: CMP-pseudaminate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74177e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",6.35746e-05,7.75551e-05,0,0,0,0,5.95257e-05,0,0.000166566,0,0,9.18933e-05,0.000127816,0,7.03856e-05,0,0,0,0,6.52617e-05,0,0,0,0,0,0,0,0,3.5427e-05,4.00229e-05,0,0,0,0,0,4.71693e-05,0.000184447,0,0.00015755,0,2.25486e-05,0,0,0.000189153,4.20067e-05,0,0,0,0,5.16254e-05,7.45609e-05,0,0.000106622,7.09328e-05,7.03965e-05,0.000176527,3.68464e-05,7.61327e-05,0,5.30515e-05,0,0,0,0,0.000126107,0.000120248,0,0,4.03468e-05,0,0.000214022,7.65278e-05,0.000176332,0.000151719,9.46284e-05,0.000138867,0.000284413,0,0.000196492,0,0,7.01388e-05,0,0,8.56653e-05,9.00675e-05,0,0,0,0,0.000112353,3.40716e-05,0,0,0.000100745,4.63251e-05,0,6.04882e-05,0,0.000123327,0,0,7.23738e-05,0,4.32045e-05,5.77531e-05,0,0.000105071,0,0,0,0.000113909,4.92701e-05,6.06922e-05,4.79322e-05,0,0.000112625,0,0,4.78493e-05,0.000107463,4.73803e-05,0,0,0.000147595,0.000101727,0.000136729,0.000227182,0.000136939,0,4.53884e-05,3.16698e-05,0.000313191,0.000160627,0.000110089,9.47558e-05,3.59212e-05,0.000103893,0.000268712,0.000190884,0.000130721,0,0.000130509,0.000472628,8.45368e-05,0.000266071,7.5722e-05,8.94117e-05,8.01877e-05,4.11378e-05,8.51911e-05,6.70151e-05,0,8.58092e-05,7.20263e-05,0.00012678
"PWY-6148: tetrahydromethanopterin biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6151: S-adenosyl-L-methionine salvage I",0.000403022,0.00025225,0.000380693,0.000335961,0.000449892,0.000648139,0.000525105,0.000507567,0.000442622,0.000451831,0.000314724,0.000289396,0.000141888,0.000444796,0.000648286,0.000620494,0.000486885,0.000473444,0.000466018,0.000245307,0.000543621,0.000560538,0.000245958,0.000322842,0.00026156,0.000629285,0.00063168,0.00053013,0.00042083,0.000381784,0.000517954,0.000498302,0.00054954,0.00060982,0.000698293,0.000438994,0.000256081,0.000604602,0.000305613,0.000233171,0.000192694,0.000554552,0.000454311,0.000332867,0.000433693,0.000657674,0.000308675,0.000574714,0.000331395,0.000682166,0.000614014,0.000346714,0.000359697,0.000369241,0.000373203,0.000330555,0.000655559,0.000426988,0.000631801,0.000447534,0.000224786,0.000613867,0.000235612,0.000493157,0.000177484,0.000134484,0.000476945,0.000539605,0.000357228,0.000360809,0.000281331,0.000342067,0.000212733,0.000242174,0.000110212,0.00036284,0.000147085,0.000311519,0.000206674,0.000540411,0.000638448,0.000356453,0.000454706,0.000717296,0.000145798,0.000260482,0.000665865,0.000332931,0.000464497,0.000788096,0.000330657,0.00041826,0.000396414,0.00042928,0.000550464,0.00020486,0.000441486,0.000572408,0.000376244,0.000306338,0.000553762,0.000549248,0.000356495,0.00050952,0.000323171,0.000221488,0.000203042,0.000416503,0.000497577,0.000221904,0.000743265,0.000474809,0.00032612,0.00030132,0.000226407,0.000635223,0.000541467,0.000439008,0.000512686,0.000229125,0.000394143,0.000241287,0.000269219,0.000403186,0.000272276,0.000115794,0.000386261,0.000251513,0.000303205,0.000318084,0.000228407,0.000440226,0.000234717,0.000286786,0.000261393,0.00036424,0.000308177,0.000170685,0.000276141,0.000503155,0.000314096,0.00026517,0.000266258,0.000416836,0.000342666,0.000269734,0.000304988,0.000163041,0.000422103,0.000390203,0.000363788,0.000159888,0.000263549,0.000246268,0.000384597,0.000194144
"PWY-6160: 3-dehydroquinate biosynthesis II (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,5.75336e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157125,0,0,0,0,0,0,0,0,0,0,8.73971e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107348,0,0,3.79032e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18897e-05,0,0,0,0,0,0,0,4.89977e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72603e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59482e-05
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000392899,0.00036773,0.000566053,0.000415844,0.000500934,0.000504874,0.000578061,0.000549294,0.000428078,0.000391841,0.000311398,0.000409077,0.000313855,0.000547856,0.000722708,0.000687458,0.000607558,0.000444086,0.000443462,0.000115328,0.000316945,0.000421597,0.000211231,0.000333889,0.000314542,0.000650847,0.00064048,0.000371771,0.000473106,0.000286758,0.000519584,0.000484855,0.000556008,0.000544755,0.000581689,0.000298695,0.000286225,0.0006062,0.00043315,0.000368535,0.000305135,0.000541635,0.000454779,0.000334386,0.000400364,0.000495623,0.000297699,0.000480037,0.000282948,0.000563804,0.000558389,0.00040495,0.000389531,0.000473584,0.000397816,0.000309959,0.000590456,0.000441751,0.000600248,0.000405604,0.000173692,0.000684772,0.000256505,0.00047831,0.000244339,0.00015925,0.000418324,0.000525377,0.000445118,0.000348195,0.000267155,0.000279478,0.000268539,0.000248556,0.000158506,0.000310479,0.000317774,0.000300298,0.000213129,0.000634632,0.000395012,0.000307946,0.00052334,0.000718044,0.000383157,0.000274373,0.000630097,0.000378712,0.000440705,0.000595579,0.00023235,0.000368591,0.000394397,0.00058246,0.00052907,0.000177548,0.000446899,0.000520234,0.000559463,0.000287207,0.000408362,0.000547099,0.000519362,0.000419805,0.00036476,0.000222962,0.000384101,0.000422962,0.000494446,0.000240442,0.000609219,0.000497419,0.00052078,0.000317488,0.000281254,0.000610476,0.000449652,0.000447048,0.000537084,0.000305252,0.00038839,0.000205023,0.000172654,0.000414681,0.000324157,0.000284813,0.000427013,0.000280797,0.000324457,0.000282635,0.000221498,0.000448362,0.000211111,0.000246132,0.000280433,0.000316963,0.00045565,0.000286145,0.000294648,0.00043134,0.000400865,0.00039688,0.000370255,0.000514628,0.000314135,0.00036265,0.000319458,0.000287105,0.000294975,0.000263192,0.000345225,0.000290214,0.000352981,0.000304131,0.00033915,0.000271314
"PWY-6165: chorismate biosynthesis II (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0.000107328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268293,0,0,0,0,0,0,0,0,0,0,0.000142847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193618,0,0,8.55551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108737,0,0,0,0,0,0,0,0.000103788,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16564e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122905
"PWY-6167: flavin biosynthesis II (archaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10782e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6168: flavin biosynthesis III (fungi)",0,0,0,0,0,0,0,0,0.000121365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135396,0,0,0,0,0,0,0,0,0.00014783,0,0,0.000133447,0,0.000126752,0,0,0,0,0,0,0,0.000128204,0,0,0,0,0,0,0.00011207,0,0,9.69338e-05,0,0,4.82971e-05,0,0,0,0,0,0,0,0,0,0,0,0.000148389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176084,6.09444e-05,0,0,0.000162785,0,0,0,0,0,0,0,0,0,0,0,0,0.000179953,0,0.000136365,0.000146224,0,0,0,0,0,0.000175751,0,0,0,0,0,0,0,0,0,0,0,0.000129158,0,0,0,0,0,0,0,0,0,0
"PWY-6174: mevalonate pathway II (haloarchaea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6182: superpathway of salicylate degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90636e-05,0,0,0,0,0,0,0,0,0,0,3.6036e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92431e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6185: 4-methylcatechol degradation (ortho cleavage)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08724e-05,0,0,0,0,0,0,0,0,0,0,4.53856e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88843e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40912e-05,0,5.07943e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-6210: 2-aminophenol degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
