"","SRR6915103_500K_merged_Abundance","SRR6915104_500K_merged_Abundance","SRR6915105_500K_merged_Abundance","SRR6915106_500K_merged_Abundance","SRR6915107_500K_merged_Abundance","SRR6915108_500K_merged_Abundance","SRR6915109_500K_merged_Abundance","SRR6915110_500K_merged_Abundance","SRR6915111_500K_merged_Abundance","SRR6915112_500K_merged_Abundance","SRR6915114_500K_merged_Abundance","SRR6915117_500K_merged_Abundance","SRR6915125_500K_merged_Abundance","SRR6915126_500K_merged_Abundance","SRR6915127_500K_merged_Abundance","SRR6915128_500K_merged_Abundance","SRR6915129_500K_merged_Abundance","SRR6915130_500K_merged_Abundance","SRR6915131_500K_merged_Abundance","SRR6915132_500K_merged_Abundance","SRR6915133_500K_merged_Abundance","SRR6915134_500K_merged_Abundance","SRR6915135_500K_merged_Abundance","SRR6915136_500K_merged_Abundance","SRR6915147_500K_merged_Abundance","SRR6915149_500K_merged_Abundance","SRR6915150_500K_merged_Abundance","SRR6915151_500K_merged_Abundance","SRR6915152_500K_merged_Abundance","SRR6915153_500K_merged_Abundance","SRR6915155_500K_merged_Abundance","SRR6915156_500K_merged_Abundance","SRR6915167_500K_merged_Abundance","SRR6915168_500K_merged_Abundance","SRR6915169_500K_merged_Abundance","SRR6915170_500K_merged_Abundance","SRR6915171_500K_merged_Abundance","SRR6915172_500K_merged_Abundance","SRR6915173_500K_merged_Abundance","SRR6915174_500K_merged_Abundance","SRR6915175_500K_merged_Abundance","SRR6915176_500K_merged_Abundance","SRR6915177_500K_merged_Abundance","SRR6915178_500K_merged_Abundance","SRR6915179_500K_merged_Abundance","SRR6915180_500K_merged_Abundance","SRR6915181_500K_merged_Abundance","SRR6915182_500K_merged_Abundance","SRR6915183_500K_merged_Abundance","SRR6915184_500K_merged_Abundance","SRR6915185_500K_merged_Abundance","SRR6915186_500K_merged_Abundance","SRR6915195_500K_merged_Abundance","SRR6915196_500K_merged_Abundance","SRR6915197_500K_merged_Abundance","SRR6915198_500K_merged_Abundance","SRR6915199_500K_merged_Abundance","SRR6915200_500K_merged_Abundance"
"P562-PWY: myo-inositol degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P621-PWY: nylon-6 oligomer degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3906e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PANTO-PWY: phosphopantothenate biosynthesis I",0.000247555,0.000263693,0.000167699,0.000172628,0.000246978,0.000236387,0.000145268,0.000303285,0.000327289,0.000192939,0.000245628,0.000210225,0.000166781,0.000197642,0.000144369,0.000300025,0.000151362,0.000149161,0.000284062,0.000218493,0.000198819,0.000132709,0.000200096,0.000190032,0.000280426,0.00016041,0.000347206,0.000288222,0.000212128,0.000214644,0.000260356,0.000282905,0.000278007,0.000170254,0.000186462,0.000344839,0.000242969,0.000251589,0.000207027,0.000175444,0.000277709,0.000285535,0.000210122,0.000291098,0.000132437,0.00028661,0.00023461,0.000211627,0.000132262,0.000304017,0.000201024,0.000206508,0.000232289,0.000289686,0.00022724,0.000235541,0.000308644,0.000185948
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)",0.000224675,0.000250211,0.000110456,0.000146727,0.000214251,0.000264476,0.000185953,0.000266574,0.00031384,0.000226829,0.000258469,0.000218548,0.000160539,0.000220003,0.000131562,0.000320763,0.000175896,0.000138629,0.000285059,0.000228683,0.00016415,0.000142568,0.000172424,0.000192867,0.000212203,0.000154103,0.000326296,0.000166072,0.000217255,0.000243609,0.000279661,0.000271532,0.000246566,0.000186563,0.000230353,0.000303959,0.000286753,0.000242196,0.00024036,0.00018935,0.000266176,0.000229098,0.00020769,0.000301915,0.000167943,0.000260594,0.000263586,0.000175669,0.000178872,0.000286405,0.000203903,0.000218122,0.000218524,0.000304176,0.000177244,0.000233768,0.000246079,0.000175556
"PENTOSE-P-PWY: pentose phosphate pathway",9.40869e-05,0.000132766,4.79467e-05,0.000210491,8.88532e-05,0,0.000140886,0.000170248,0.000224671,0.00012911,0.000163744,0.000103827,0.000218086,0.000132947,8.63734e-05,0,6.6407e-05,6.4686e-05,0.000157655,8.1167e-05,0.000130863,3.7125e-05,6.5041e-05,7.77976e-05,4.88051e-05,6.41665e-05,0.000127286,0,0,5.7189e-05,0.00014078,0,0.000178759,8.67078e-05,0.000172986,8.681e-05,0.000196457,0.000145208,0.000139814,0.000100287,4.712e-05,0,4.32356e-05,8.68583e-05,0.000116698,0.000175541,0,9.09905e-05,0,6.94994e-05,0,7.4284e-05,0,0.000101833,3.84984e-05,0.000142487,9.453e-05,0
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.00031895,0.000323111,0.00025429,0.000245909,0.000321977,0.000337712,0.000352653,0.000286449,0.000450894,0.000314258,0.00028455,0.000303011,0.000231065,0.000249125,0.000343593,0.000486231,0.00032278,0.000223128,0.000304378,0.0003232,0.0002775,0.000327915,0.000347796,0.000317451,0.000335949,0.000232772,0.000342735,0.000191141,0.000321829,0.000325369,0.000381678,0.000317693,0.000352942,0.000165437,0.000328573,0.000392827,0.000394142,0.000400284,0.000364618,0.000340004,0.000326662,0.000370996,0.000367848,0.000361534,0.000288189,0.000320201,0.000347552,0.000314277,0.0002884,0.000355405,0.000321282,0.000413644,0.000371537,0.000424085,0.00025684,0.000385591,0.00037223,0.000405096
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.00010067,0.000140354,0.00010153,0.000311576,0.000114026,0,6.40619e-05,0,0.000154289,0.000108096,0.000144944,0,0.000241147,0.000203083,7.33411e-05,0.000258113,0,0,7.634e-05,9.36618e-05,0,0.000168719,0,0.00015687,0.000181261,6.60987e-05,0.000121958,8.52775e-05,7.11381e-05,0,0.000123266,0,0.000131403,0,3.85435e-05,0,7.12458e-05,0.000199739,0,9.71355e-05,0,0.000224536,6.6883e-05,0.000130603,0.000121801,0.00012329,0,6.01127e-05,0,7.54459e-05,0,0.00018115,0,7.20292e-05,6.48241e-05,0.000149469,9.03855e-05,0.0001909
"PHOTOALL-PWY: oxygenic photosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77704e-05,0,0,0,0,0,0,0,0,3.0609e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0,0,0,0.000145834,0,0,3.93381e-05,4.98696e-05,0,0,3.16087e-05,7.52385e-05,0.000157689,0,0,0,0,0,0,0,0,0,0,0,4.07287e-05,0,0,0,0,5.22651e-05,5.0439e-05,0,0,3.83401e-05,0,0,0,0,0,3.61967e-05,0,0,3.18089e-05,0,0.000126023,5.26225e-05,0,2.96107e-05,0,8.36778e-05,0,2.84937e-05,0,0,3.61417e-05,0,0,0
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",0,0.000112851,0,0.000139441,0,3.28938e-05,0,0.000100446,0.000177325,0,9.30297e-05,9.90168e-05,0.000130498,5.63488e-05,0,0,3.94392e-05,0,4.69159e-05,0,0,2.61314e-05,0,0,0,6.3812e-05,4.10565e-05,0,0,7.26443e-05,5.55665e-05,0,0.000117911,4.24869e-05,2.98285e-05,8.96363e-05,0.00010005,0,7.9802e-05,4.62348e-05,0,0,4.92351e-05,0,3.24282e-05,8.83262e-05,0,7.17667e-05,0,1.30656e-05,0,0,0,5.57059e-05,3.55029e-05,0,0,0
"PPGPPMET-PWY: ppGpp metabolism",3.81006e-05,0,3.9325e-05,2.4268e-05,0,0,0,3.39178e-05,0,0,7.29602e-05,3.07395e-05,1.24175e-05,2.80702e-05,0,0,0,0,3.89951e-05,0,0,2.32471e-05,0,0,0,6.74102e-05,4.78989e-05,3.28034e-05,0,0,2.57506e-05,4.20932e-05,0,0,0,0,0,6.9233e-05,4.73213e-05,3.70647e-05,0,3.7765e-05,0,0,1.14881e-05,6.74621e-05,8.94615e-05,0,0,0,0,0,0,0,0,6.7313e-05,0,3.52277e-05
"PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.198e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0,0,0,7.65923e-05,0,0,0,0,0,0,0,0,0.000100779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-101: photosynthesis light reactions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-1042: glycolysis IV",0.00049177,0.00052276,0.000340444,0.000417523,0.000502437,0.000531535,0.000417515,0.000488852,0.000649363,0.000590392,0.000442487,0.000504827,0.000370127,0.000368524,0.000476528,0.000424379,0.000425298,0.000326081,0.000518546,0.000277362,0.000397078,0.000510796,0.000372924,0.00056227,0.000520086,0.000474909,0.000490444,0.000338782,0.000414749,0.000461779,0.000548647,0.000524909,0.000455661,0.000309083,0.000452614,0.000575735,0.000575782,0.000444042,0.000459838,0.000547637,0.000425626,0.000634758,0.00040956,0.000470307,0.000391656,0.000457773,0.000470171,0.000379579,0.000418207,0.000530749,0.000540574,0.00053474,0.000462392,0.000697887,0.000407823,0.000580729,0.000398284,0.000613999
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis",7.45735e-05,0,4.18266e-05,0.00016736,4.11318e-05,3.34007e-05,6.22553e-05,6.83403e-05,0,0,9.50284e-05,0,0.000158256,9.3704e-05,0,0.000332974,0,5.48783e-05,6.68721e-05,2.02463e-05,3.83236e-05,0.000111053,0,3.00351e-05,0.000102419,5.30783e-05,3.53571e-05,6.76334e-05,2.18974e-05,0,4.1354e-05,0,7.8905e-05,0,3.54217e-05,0,3.83113e-05,0.000100231,0,5.35474e-05,8.60162e-05,0.000158117,0,5.3926e-05,7.87604e-05,6.30509e-05,4.93242e-05,0.000135264,0,3.06844e-05,0,0.000139716,0,0,0,3.4545e-05,0,0.000126795
"PWY-1501: mandelate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-1622: formaldehyde assimilation I (serine pathway)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-181: photorespiration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)",8.50319e-05,0.000126418,8.50526e-05,4.7997e-05,7.64878e-05,0,4.90806e-05,0,0,0,4.60002e-05,8.57607e-05,7.17662e-05,0,8.93345e-05,0,7.13955e-05,0,6.47608e-05,8.11185e-05,0,0,0,0,0.000118512,0,0,0,0,0,7.01228e-05,0,0,0,9.14626e-05,0,0.000145013,7.42374e-05,8.79136e-05,0,5.53563e-05,0,0,0,0,0,0,9.94104e-05,0,0,0.00013647,0.000100541,7.24111e-05,0,0,5.17837e-05,8.569e-05,6.61799e-05
"PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.000105853,0,0,0.000215034,0,0,0.000105459,4.46316e-05,8.13248e-05,0.000110661,0,0,0.000107174,0.000107784,9.09825e-05,0,0,0,4.94476e-05,4.1685e-05,8.68475e-05,8.04496e-05,0,5.24998e-05,0,0,0.000152008,0,0,0,4.13426e-05,0,0.000113113,0,0.000108577,0,0,0.000166794,4.51369e-05,7.0397e-05,0,0,0,9.79981e-05,0.00011174,7.70411e-05,0,0,0.000135604,0,0,6.6103e-05,0,9.80085e-05,0,0.000158028,8.37027e-05,0
"PWY-2941: L-lysine biosynthesis II",4.46205e-05,0,0,9.82866e-05,0.000122182,0,0.000156402,0,7.69482e-05,0,8.48199e-05,8.40969e-05,0,0.000222222,0,0,0,0,0,0.000116982,0,0.0001543,0,9.84995e-05,0,0,0,0,0,0,8.88289e-05,0,0.00013639,4.68465e-05,7.08822e-05,0,0,0,0,8.70639e-05,7.54018e-05,9.26188e-05,5.93509e-05,0.000127261,0,0.000137864,0,0.000123024,0.000110649,0,0,0.00017627,0,7.49176e-05,8.81963e-05,0.000166714,0,6.2106e-05
"PWY-2942: L-lysine biosynthesis III",0.000350303,0.000299191,0.000212892,0.000287526,0.000291456,0.000264828,0.00035244,0.000292487,0.000435308,0.000292081,0.00035267,0.000264206,0.000254272,0.000248428,0.00031164,0.0003867,0.000258676,0.000184567,0.000241687,0.000272519,0.000225434,0.000221472,0.000209699,0.000231122,0.000276934,0.000232018,0.000317776,0.000180504,0.000344192,0.000320055,0.000338355,0.00021177,0.000315869,0.000203054,0.000334102,0.000277937,0.000320519,0.000367996,0.000303039,0.000275498,0.000356902,0.000283591,0.000303066,0.000369188,0.00024925,0.0002979,0.000369326,0.00029023,0.000191692,0.000352386,0.000292998,0.000367859,0.000290453,0.000325134,0.000212599,0.000340001,0.000314693,0.000261081
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.000263111,0.000210395,7.43694e-05,0.000273616,0.000114822,0.000300204,0.000291605,0.00032463,0.000361783,0.000268295,0.000159262,0.000269087,0.000215656,0.00020042,0.00024706,0.000217843,0.000169928,0,0.000246432,0.00021037,0.000184849,0.000274991,0.000151806,0.00019581,0.000114878,9.05425e-05,0.000315145,0.000171978,0.00010339,0.000149437,0.000245546,0.000114349,0.000305137,0.000158852,0.000307854,0.000212956,0.000239341,0.000306407,0,0.00016636,0,0.000172632,0.000132273,0.000289582,0.000218161,0.000287442,0.000141627,0.00019225,0.000184888,0.000213645,0.000247462,0.000298176,0.000118611,0.000231999,0.000250826,0.000307366,0.000197387,0.000119019
"PWY-3781: aerobic respiration I (cytochrome c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3801: sucrose degradation II (sucrose synthase)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3841: folate transformations II (plants)",0.000313717,0.000304899,0.00025903,0.000246634,0.000379062,0.000336894,0.000296555,0.000389393,0.000432584,0.000296634,0.000310499,0.0003523,0.000209928,0.000277542,0.000384863,0.000437448,0.000334568,0.000192834,0.000247723,0.000278193,0.00023873,0.000309042,0.000328859,0.000266132,0.000274214,0.000271027,0.000394244,0.000265737,0.000326747,0.000245914,0.000375737,0.000316994,0.000299589,0.000261692,0.000326548,0.000374856,0.000365465,0.000342643,0.000386075,0.000355141,0.000249231,0.000276302,0.00030192,0.000375669,0.000242933,0.000306284,0.000435275,0.000279743,0.000380801,0.000307569,0.000391839,0.000290163,0.000331832,0.000407697,0.00030918,0.000327314,0.000329017,0.000321619
"PWY-4041: &gamma;-glutamyl cycle",4.93127e-05,5.83357e-05,3.36126e-05,0.000193723,0,2.06714e-05,5.90999e-05,0,0.000121498,4.22662e-05,0,6.85352e-05,0.000163222,6.95181e-05,5.94144e-05,0,0,0,4.39383e-05,0,5.71431e-05,5.72501e-05,0,5.84074e-05,3.27353e-05,0,7.2229e-05,0,0,7.00593e-05,2.65834e-05,0,8.1212e-05,0,8.15679e-05,5.16693e-05,0.000129696,0.000118778,0,6.32162e-05,0,0,0,4.35004e-05,9.61008e-05,5.98117e-05,0,0,4.08331e-05,5.69905e-05,6.33166e-05,5.77049e-05,5.35148e-05,3.65091e-05,0,6.06786e-05,2.56505e-05,0
"PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4702: phytate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4984: urea cycle",3.55875e-05,7.1271e-05,0,0,0,0.000112977,0.000193979,7.37549e-05,0.000247023,7.19012e-05,8.51291e-05,0.000130471,0.000110693,0.000148694,0.000128342,0,0,0,4.99108e-05,0,6.86101e-05,0,0,0,0,0.000121027,0.000176343,0.00010599,0,0.000151553,0.000106073,0,6.44017e-05,0.000174063,0.00010409,4.00158e-05,0.000162168,0.000153079,0.000109349,0.000152384,6.74092e-05,0,5.53198e-05,0.000173406,0,0.000207569,0,0.000129626,0,5.61124e-05,6.33875e-05,9.78939e-05,4.7966e-05,9.6709e-05,4.54021e-05,0,0.000149869,6.02546e-05
"PWY-5004: superpathway of L-citrulline metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5005: biotin biosynthesis II",0,0,0,0,0,0,0,0,0,0,6.84397e-05,0,0,0,0,0,0,3.88653e-05,0,0,0,0,0,0,0,0,0,0,0,2.71682e-05,0,0,0,0,2.6171e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.12224e-05,0,0,0,0,0,0,0,0,0,0
"PWY-5022: 4-aminobutanoate degradation V",0,0,0,0,0,0,0,0,0,0,0,0,3.19458e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5028: L-histidine degradation II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5030: L-histidine degradation III",0,9.99741e-05,0,0,4.42872e-05,0,5.9395e-05,0.00013896,0.00021565,5.07418e-05,0.000142357,5.44706e-05,2.96185e-05,0.000101889,3.41091e-05,0,4.90853e-05,4.04949e-05,9.04633e-05,0,3.57598e-05,0,0,0,0,0,9.95123e-05,6.40713e-05,0,5.95102e-05,7.34917e-05,0,0.000154344,3.78293e-05,3.14826e-05,7.99058e-05,0.000104022,0.000116781,6.01499e-05,5.24142e-05,4.06598e-05,0,0,9.04217e-05,0,0.000153318,6.85355e-05,0.000103433,0,0,0,0,5.02856e-05,0,0,0,0,4.5946e-05
"PWY-5055: nicotinate degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5079: L-phenylalanine degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5080: very long chain fatty acid biosynthesis I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5088: L-glutamate degradation VIII (to propanoate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5097: L-lysine biosynthesis VI",0.000349294,0.000299452,0.000337838,0.000292429,0.000340511,0.000295673,0.00033467,0.000273055,0.000393961,0.000350938,0.000309105,0.000282318,0.00026452,0.000242942,0.000321683,0.00035647,0.000278178,0.00019782,0.000284939,0.00028215,0.000237813,0.000233936,0.000353911,0.000250586,0.000339142,0.000284418,0.000384417,0.000178068,0.000375274,0.000333104,0.000363554,0.000231534,0.000284296,0.000216439,0.000352608,0.000385692,0.000349397,0.000342042,0.000385639,0.00040454,0.000321957,0.000357628,0.000338112,0.000341761,0.000260934,0.000293964,0.000360941,0.000284907,0.000269476,0.000361719,0.000396142,0.000382144,0.000310054,0.000394352,0.000272689,0.000341154,0.000357938,0.000273005
"PWY-5100: pyruvate fermentation to acetate and lactate II",0.000159394,0.000225976,0.000134508,0.000171029,0.000327805,0.000320169,0.000167868,0.000178479,0.000271156,0.000247358,0.000176853,8.57811e-05,0.000146744,0.000150609,0.000199581,3.84688e-05,0.000121747,0,0.00021111,0.000158514,0.00014657,0.000167128,0.00024426,0.000247883,0.000209536,0.000192354,0.000220451,0.000119139,0.000294576,0.00015601,0.000117733,0.000208041,0.000175384,0.000103973,0.000244026,0.000205883,0.000154354,0.000201052,0.000261817,0.000265256,0.000162526,0.00023104,0.000363965,0.000182251,0.000184767,0.00016152,0.00011759,0.000164175,0.000261603,0.000268317,0.000239592,0.000193404,0.000145748,0.000363574,0.000178382,0.00032186,0.000246728,0.000183409
"PWY-5101: L-isoleucine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5103: L-isoleucine biosynthesis III",0.000439012,0.000416785,0.000267934,0.000469341,0.00045984,0.000399398,0.000445338,0.000422268,0.000334728,0.000371272,0.000289948,0.000281985,0.000326304,0.000368918,0.000268135,0.000515967,0.000357326,0.000215392,0.000423035,0.000273559,0.000274912,0.000492855,0.000289911,0.000367764,0.000350053,0.000292355,0.000551825,0.000252475,0.000424605,0.000282491,0.000475727,0.000460558,0.000282889,0.000189739,0.00043979,0.000317989,0.000349341,0.000394825,0.000467979,0.00035511,0.00035019,0.000521674,0.000308605,0.000454603,0.0003637,0.000345184,0.000210195,0.000323954,0.000391178,0.000322268,0.000462493,0.000431812,0.000239457,0.000309703,0.000389518,0.000454082,0.000316891,0.000441986
"PWY-5104: L-isoleucine biosynthesis IV",0,0,0,0,0,0,3.39713e-05,0,0,0,0,3.76942e-05,0,0,0,0,0,0,2.76858e-05,0,0,0,0,0,0,0,2.94474e-05,0,0,5.5175e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0,0.000151155,0,9.91393e-05,0,6.61519e-05,6.70615e-05,0.000134548,0.000325574,8.9967e-05,0.000160103,0.000165723,1.91299e-05,7.82719e-05,0,0,9.20073e-05,0,0.000124194,0,0,4.4768e-05,0.000122437,8.42055e-05,0,9.05286e-05,8.61811e-05,0,6.04481e-05,0.000138519,0.00014797,0,0.00016758,9.91271e-05,5.91505e-05,0.000149102,0.000226495,0,0.000125239,7.42554e-05,0,0,7.89635e-05,0.000130982,6.15344e-05,0.000120367,0,0.000126674,0,4.52092e-05,6.77732e-05,5.75898e-05,0,9.71047e-05,0,0,0,0.000108018
"PWY-5130: 2-oxobutanoate degradation I",0,0,0,2.26995e-05,0,0,0,0,2.57072e-05,0,0,0,0,0,3.72655e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12032e-05,0,0,0,0,0,5.10033e-05,0,0,0,0,2.76804e-05,0,4.65389e-05,0,1.63144e-05,0,0,0,0,0,0,0,0,0
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)",0,0,0,0.000211238,0,0,0,0,0,0,0,0,7.39069e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64028e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107772,0,0,0,0,5.32046e-05,0,0,0,0,0,0,0,0
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",0,0,0,8.27274e-05,0,0,0,0,0,0,0,0,3.25785e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0.000284637,0.00014011,0,0.000278794,0.000130659,0.000200383,0.000140241,0.0002317,0.000247726,6.08789e-05,0.000272408,0.000113157,0.000160729,0.000181506,0.000212371,8.64236e-05,0.000138631,0.000127639,0.000195101,8.39183e-05,3.97198e-05,0.000241752,0.000142043,0.000123549,0.000244181,0.000110675,0.000180415,0.000124612,0,5.90354e-05,0.000150601,0,0.000202673,0.000102953,0.000209957,0.000123795,0.000230253,0.000185744,0.000158244,0.00010699,0.000211343,0.000307721,0,0.000180498,7.84074e-05,0.000223868,9.74707e-05,0.000145592,0,0.000247651,7.59949e-05,0.000278307,0.000175522,0.000177437,0.000207131,0.000111708,0.000163452,0.000325307
"PWY-5156: superpathway of fatty acid biosynthesis II (plant)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5178: toluene degradation IV (aerobic) (via catechol)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
