"","SRR6915091_500K_merged_Abundance","SRR6915092_500K_merged_Abundance","SRR6915093_500K_merged_Abundance","SRR6915094_500K_merged_Abundance","SRR6915095_500K_merged_Abundance","SRR6915096_500K_merged_Abundance","SRR6915097_500K_merged_Abundance","SRR6915098_500K_merged_Abundance","SRR6915099_500K_merged_Abundance","SRR6915100_500K_merged_Abundance","SRR6915101_500K_merged_Abundance","SRR6915102_500K_merged_Abundance","SRR6915113_500K_merged_Abundance","SRR6915115_500K_merged_Abundance","SRR6915116_500K_merged_Abundance","SRR6915118_500K_merged_Abundance","SRR6915119_500K_merged_Abundance","SRR6915120_500K_merged_Abundance","SRR6915121_500K_merged_Abundance","SRR6915122_500K_merged_Abundance","SRR6915123_500K_merged_Abundance","SRR6915124_500K_merged_Abundance","SRR6915137_500K_merged_Abundance","SRR6915138_500K_merged_Abundance","SRR6915139_500K_merged_Abundance","SRR6915140_500K_merged_Abundance","SRR6915141_500K_merged_Abundance","SRR6915142_500K_merged_Abundance","SRR6915143_500K_merged_Abundance","SRR6915144_500K_merged_Abundance","SRR6915145_500K_merged_Abundance","SRR6915146_500K_merged_Abundance","SRR6915157_500K_merged_Abundance","SRR6915158_500K_merged_Abundance","SRR6915159_500K_merged_Abundance","SRR6915160_500K_merged_Abundance","SRR6915161_500K_merged_Abundance","SRR6915162_500K_merged_Abundance","SRR6915163_500K_merged_Abundance","SRR6915164_500K_merged_Abundance","SRR6915165_500K_merged_Abundance","SRR6915166_500K_merged_Abundance","SRR6915188_500K_merged_Abundance","SRR6915189_500K_merged_Abundance","SRR6915190_500K_merged_Abundance","SRR6915191_500K_merged_Abundance","SRR6915192_500K_merged_Abundance","SRR6915193_500K_merged_Abundance","SRR6915194_500K_merged_Abundance","SRR6915201_500K_merged_Abundance","SRR6915202_500K_merged_Abundance","SRR6915203_500K_merged_Abundance","SRR6915204_500K_merged_Abundance","SRR6915205_500K_merged_Abundance","SRR6915206_500K_merged_Abundance","SRR6915207_500K_merged_Abundance","SRR6915208_500K_merged_Abundance","SRR6915209_500K_merged_Abundance","SRR6915210_500K_merged_Abundance","SRR6915211_500K_merged_Abundance","SRR6915212_500K_merged_Abundance","SRR6915213_500K_merged_Abundance","SRR6915214_500K_merged_Abundance","SRR6915215_500K_merged_Abundance","SRR6915216_500K_merged_Abundance","SRR6915217_500K_merged_Abundance","SRR6915218_500K_merged_Abundance","SRR6915219_500K_merged_Abundance","SRR6915220_500K_merged_Abundance","SRR6915221_500K_merged_Abundance","SRR6915222_500K_merged_Abundance","SRR6915223_500K_merged_Abundance","SRR6915224_500K_merged_Abundance","SRR6915225_500K_merged_Abundance","SRR6915226_500K_merged_Abundance","SRR6915227_500K_merged_Abundance","SRR6915228_500K_merged_Abundance","SRR6915229_500K_merged_Abundance","SRR6915230_500K_merged_Abundance"
"PPGPPMET-PWY: ppGpp metabolism",4.10444e-05,0,0,4.87895e-05,0.000105745,0.000320541,0,0.000352536,0,0,0,1.03192e-05,2.45774e-05,0.000117492,0,0,0,2.31885e-05,0,0,0,1.19782e-05,0,0,0,0,4.32411e-05,0,0,0,0,0,4.26175e-05,0,0,4.36133e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176663,0,0.000104986,0,0,0,0,0,4.036e-05,0,0,0,1.90833e-05,0,0,0,0,0,0.000194728,0,1.59638e-05,0,0,0,0.000128584,0,0,0,0,0
"PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)",3.94493e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66743e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60891e-05,0,3.62404e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0,0,0,0.000186867,0.000200095,0.000318849,0,0.000311983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014012,0,0,0,0,0,0.000132215,0,0,9.09119e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165584,0,0,0,0,0,0.000109719,0,0,0,0,0
"PWY-101: photosynthesis light reactions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-1042: glycolysis IV",0.000470482,0.00029854,0.000597278,0.000423104,0.000429146,0.000444132,0.00036286,0.000516853,0.000448008,0.000416638,0.00041811,0.000360873,0.000395922,0.000256251,0.000296244,0.000577881,0.00012011,0.000599284,0.000379853,0.000539754,0.000254119,0.000314338,0.000234716,0.000486995,0.000420257,0.000490281,0.000478652,0.000439475,0.000710782,0.000457348,0.000781682,0.000433656,0.000426762,0.000384905,0.000324314,0.000336898,0.000957232,0.000372246,0.000445409,0.000458292,0.000755582,0.000338071,0.000353017,0.000454109,0.000339461,0.000741588,0.000380188,0.000523274,0.000227668,0.000361581,0.000194265,0.000416928,0.000346749,0.000527959,0.0003647,0.000303389,0.000466849,0.000397654,0.000353325,0.000275865,0.000472631,0.000455329,0.000447385,0.00021038,0.000922019,0.000564201,0.000346322,0.000411598,0.000364308,0.000433148,0.00045216,0.000521455,0.000392514,0.000445152,0.000366662,0.000352514,0.000659206,0.00045571,0.000586892
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis",0.000159909,4.26425e-05,0.000146833,0.000255991,0.000251663,0.000280947,0.000145362,0.000344965,3.48636e-05,5.50536e-05,0.000195239,0.000146725,3.89897e-05,0.000163632,4.16609e-05,0.000207079,0.000149503,0.000118512,8.28513e-05,8.62869e-05,7.28509e-05,7.85094e-05,3.73831e-05,0.000148681,7.65811e-05,0.000136841,0.000267886,9.99011e-05,0.000109646,0.000195157,0.000205756,0.00013706,0.000169373,0.000130257,4.47868e-05,0.000178516,0.000219242,0.000117513,7.67161e-05,0.000128234,0.000221077,0,8.47928e-05,6.76793e-05,9.11514e-05,0.000254156,7.18348e-05,7.79521e-05,7.96631e-05,6.94111e-05,0,0.000109739,7.62029e-05,0.000139181,3.5682e-05,0.000113195,3.87987e-05,8.33854e-05,4.75872e-05,4.8715e-05,6.39661e-05,8.17604e-05,2.85639e-05,9.93758e-05,0.000181564,0.000240524,7.86029e-05,0.000254601,4.34382e-05,0.00011372,0.00017468,9.36546e-05,0.000151609,0.000182052,0.000237315,6.3359e-05,7.7937e-05,9.78163e-05,0
"PWY-1501: mandelate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-1622: formaldehyde assimilation I (serine pathway)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-181: photorespiration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)",2.82684e-05,0,0,0,1.71722e-05,0,0,0,4.0851e-05,0,0,8.77368e-05,0,0,0,0,0,0,0,0,0,0,6.31432e-05,0,0,0,0.000174119,0,0,0,0,0.0001236,9.0891e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109629,0,0,0,0,5.89646e-05,6.10872e-05,0,0,0,5.31781e-05,0,0,0,5.55793e-05,3.15812e-05,0,0,0,0,0,0,0.000212054,0,0,0,0,8.0257e-05
"PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.000123225,0,0,0.000163115,0,0,0,0,5.42128e-05,0,0,0.000118997,2.86198e-05,0,0,0,0,0,7.85612e-05,0,3.41471e-05,4.58832e-05,9.60978e-05,0,0,0,0.000119718,0,5.25463e-05,0,5.22561e-05,0.000145047,0.000139274,7.63612e-05,8.41024e-05,0.000128824,0,8.9506e-05,5.9968e-05,3.32444e-05,0,0,0,4.66214e-05,0,0,0,3.83391e-05,6.18527e-05,0.000180572,0,8.74401e-05,6.00059e-05,0,0.000155466,0,3.80829e-05,6.32392e-05,0,0,0,0.000103775,0,0,5.11593e-05,0,6.83648e-05,0,0,0.000171974,8.13014e-05,0,0,0.000202296,0,0,0,3.57022e-05,2.93911e-05
"PWY-2941: L-lysine biosynthesis II",8.75741e-05,0,0,0.000238624,8.01108e-05,0,0,0,0,0.000124357,0,0.000100835,7.61646e-05,0.000318749,0,0.000102738,9.29926e-05,0,0,0,0,0,0,0,0,0,8.08394e-05,7.73092e-05,0,0,0,0.000101128,9.11193e-05,8.12512e-05,0,0.000181959,0,0,0,0,0,0,0,9.46059e-05,0,5.44959e-05,0.000109046,6.87073e-05,0.000177752,0,0,4.42936e-05,0,0,7.22681e-05,5.83179e-05,6.29272e-05,5.11573e-05,0,0,0,4.36975e-05,6.42956e-05,0,0,0,0,0.000243841,0,0,0.000119995,0,8.60152e-05,0.000107649,0,0,0,0,0.000377133
"PWY-2942: L-lysine biosynthesis III",0.000229966,0.000210906,0.000291437,0.000426638,0.000354682,0.000368328,0.000189672,0.000353099,0.000222415,0.000228592,0.000298499,0.000261541,0.000214515,0.000330278,0.000198652,0.000400181,0.000540143,0.000288551,0.000289932,0.000333595,0.000250034,0.000244983,0.000362859,0.000235108,0.000291372,0.000382771,0.000292367,0.000294327,0.000319719,0.000275814,0.000330349,0.000294962,0.000267604,0.000255528,0.000209577,0.000232822,0.000856046,0.000405604,0.000266769,0.000366851,0.000517508,0.000306692,0.000270698,0.000289136,0.000208189,0.000395398,0.000296253,0.000250583,0.000289009,0.000377227,0.000301366,0.000187841,0.000249304,0.000288677,0.000260155,0.000337345,0.000417618,0.000155473,0.000279652,0.000204054,0.000146894,0.000242546,0.000195301,0.000314964,0.000411004,0.000445064,0.000196608,0.000399799,0.000162068,0.000321944,0.000262069,0.000222007,0.000290224,0.000392149,0.000284656,0.000265065,0.000168831,0.000165738,0.000469113
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.000322641,0,0.000181119,0.00019472,0.000331477,0.000479667,0.000214825,0.000506896,0.000201446,0.00018847,0.000170456,0.000263486,8.30174e-05,0.000142986,0.000129674,0.000124759,0.000170334,0.000124592,0.000179501,0,0.000220904,0.000178164,0.000183907,0.00023649,0.000229925,0.000324788,0.000353109,0.000174053,0.0003165,0.000205127,0,0.000233403,0.000282127,7.82689e-05,0.000100696,0.000235543,0,0.000166103,0.000302627,0.000129386,0,0.000113278,0.000173865,0.000256838,0.000168293,0.000111471,0.000245286,0.000219375,0.000247687,0.000134035,0.000246569,0.000210988,0.000178135,0.000199922,0.000210849,0.000217555,0,0.000199299,0,9.57717e-05,0.00025259,0.000321105,0.000198981,0.000135401,0.000128159,0.000110447,0.000209874,0.00040405,0.00020004,0.000380733,0.000248068,0.000135779,0.000208106,0.000331788,0,0.000236293,0.000109486,0.000250219,0.000474737
"PWY-3781: aerobic respiration I (cytochrome c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3801: sucrose degradation II (sucrose synthase)",0,0,0,0,2.45089e-05,0.00027326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3841: folate transformations II (plants)",0.000330999,0.000289421,0.000473606,0.000326642,0.00022978,0.00031657,0.000421838,0.000320476,0.00033477,0.000267055,0.000428578,0.000313796,0.000332604,0.000225221,0.000345831,0.000483558,0.000616989,0.000409719,0.000277117,0.000389403,0.000437121,0.000283019,0.000327426,0.00051253,0.00033735,0.000446662,0.000260088,0.000352386,0.000327583,0.000384943,0.000304519,0.000284377,0.000194653,0.000223444,0.00021122,0.000212638,0.000460127,0.000430414,0.000284094,0.00041593,0.000441302,0.000373357,0.000361493,0.000324453,0.000309629,0.000382973,0.000284905,0.000360281,0.00040038,0.000551571,0.000377561,0.000234479,0.000270269,0.000367695,0.000334068,0.000490971,0.000567823,0.000245004,0.000355083,0.000242176,0.000320053,0.000246711,0.00034283,0.000439032,0.000505169,0.000650128,0.000199754,0.000308579,0.000341962,0.000338485,0.000330388,0.00027888,0.000391446,0.000255724,0.000385875,0.000192584,0.000348407,0.000396293,0.000420065
"PWY-4041: &gamma;-glutamyl cycle",0.000182224,0,3.13968e-05,0.000207585,0.000390481,0.000420322,6.24137e-05,0.000442148,4.19204e-05,5.04756e-05,6.31066e-05,0.000148871,0,3.33252e-05,0,0,0,3.62516e-05,0,0.000125318,6.59167e-05,5.00635e-05,4.65397e-05,2.9052e-05,0,3.06495e-05,0.000268151,7.44507e-05,9.33464e-05,0,2.57782e-05,0.000159408,0.000235118,2.75951e-05,2.4514e-05,0.000209958,0,4.44103e-05,7.63642e-05,0,0,3.66091e-05,0,9.62744e-05,0,4.06319e-05,6.86631e-05,0.000106272,0,0.000192272,0.000163798,0.00012635,2.00125e-05,0,3.11398e-05,0,5.5442e-05,9.69627e-05,0,0,5.50302e-05,0.000148003,0,5.11144e-05,7.71866e-05,0,4.54849e-05,0.00036048,1.94796e-05,0.000222131,6.55665e-05,0,0,0.000203811,9.28158e-05,5.00754e-05,0,9.24735e-05,0.000166073
"PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4702: phytate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4984: urea cycle",0.000281283,0,4.64773e-05,0.000251559,5.19701e-05,0,0.000163325,0,0.000177347,0.000177712,8.0613e-05,0.00016799,0.00020468,0.000134542,0,6.11349e-05,0.000585665,7.02002e-05,0,0.000150017,0.000263194,7.48408e-05,0.000267059,0.000146091,0.000205082,0.000253627,0.000148457,3.63818e-05,0.00035619,5.24881e-05,0,0.000201489,0.000128306,9.79744e-05,0.000111254,0,0,0.000217619,0.00010595,6.51731e-05,0,0.000134631,0.00010025,0.000243007,0.000143651,0,0.000252318,0.000112585,0.000103663,3.07106e-05,0.000116872,0.000155122,9.21529e-05,9.86894e-05,9.38588e-05,0.000123915,0,0.000143102,9.08953e-05,8.08717e-05,0,0.000114372,0.000139248,0,0.000113347,0,0.000123586,0,0.000134363,9.00045e-05,0.000281842,6.96361e-05,0.000111554,7.32153e-05,8.90787e-05,0,0,0.000104845,0
"PWY-5004: superpathway of L-citrulline metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58637e-05,0,0,0,0,0,0,0,0,0,0,0,1.73323e-05,0,0,0,0,0
"PWY-5005: biotin biosynthesis II",0,0,0,0,0,0,3.8782e-05,0,0,0,0,0,0,5.31058e-05,0,0,0,0,3.74842e-05,0,0,0,0,4.32969e-05,0,0,0,0,5.40502e-05,0,0,5.57782e-05,0,0,0,0,0,0,0,4.26186e-05,0,0,0,0,3.73889e-05,8.09218e-05,6.97143e-05,0,0,0,7.04719e-05,0,0,0,0,0,0,0,0,0,0,3.36349e-05,0,0,0,0,0,0,0,0,0,0,7.0097e-05,0,7.25639e-05,0,0,5.75114e-05,0
"PWY-5022: 4-aminobutanoate degradation V",0,0,0,0,0,0,0,0,0,0,0,0,7.00726e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75925e-05,7.80357e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103099,3.64172e-05,0,0,0,0
"PWY-5028: L-histidine degradation II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5030: L-histidine degradation III",0.0002248,6.8161e-05,0.000375775,0,0,0,0.000120151,0,0.00011168,0.000446195,0.000297455,0.000147585,0.000116076,0.000259162,7.59775e-05,0,0.000518551,0.000245544,8.50852e-05,0.000286933,0.000157595,0.000161398,0.0001902,0.000256251,0.000231459,0.000344636,0.000140356,0.000189378,0.000209613,0.00017074,5.74228e-05,0.00022959,0.000171476,0.000182072,0.000131076,0.000102006,0,0.000103115,0.000386051,0.000104332,0,0.000144389,0.000160373,7.62393e-05,0.000214613,0.000100032,9.47942e-05,0.000139278,0.0002802,0.000462005,0.000498797,0.000102749,0.000150815,0.000256132,8.66082e-05,0.00013036,0.000497244,7.62365e-05,0.000121322,9.06956e-05,0,9.46832e-05,0.000182219,0,0.000194039,0.000101697,0.000138418,0,0.000289197,0.000100361,0.000183708,0.000103836,0.000157547,2.94778e-05,0.000461905,0.000109076,0,0.000167935,0
"PWY-5055: nicotinate degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5079: L-phenylalanine degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5080: very long chain fatty acid biosynthesis I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5088: L-glutamate degradation VIII (to propanoate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5097: L-lysine biosynthesis VI",0.000320892,0.000208594,0.000356395,0.00042665,0.000341181,0.000378968,0.000340081,0.00036863,0.000265917,0.000244623,0.000347836,0.000278983,0.000216988,0.000342101,0.000217786,0.000432045,0.00054406,0.000277145,0.000346674,0.000351407,0.00023732,0.000243957,0.00030469,0.000209908,0.000312523,0.00044243,0.000311659,0.000259641,0.000304305,0.000282032,0.00036083,0.00030661,0.000353714,0.000237531,0.000227617,0.000226571,0.000826729,0.000435208,0.000294009,0.000345844,0.000544605,0.000298145,0.000279862,0.000353107,0.000294736,0.000404055,0.000338014,0.00038669,0.000340472,0.000257675,0.000320841,0.000206703,0.000258243,0.000295083,0.000314924,0.000369738,0.000463789,0.000184142,0.000286735,0.000190444,0.000167253,0.000274502,0.000286305,0.000298229,0.000376184,0.000471266,0.000250279,0.000398347,0.000284255,0.000330437,0.000221675,0.000235387,0.000284595,0.000373974,0.000310074,0.000392714,0.000193604,0.000327269,0.000379923
"PWY-5100: pyruvate fermentation to acetate and lactate II",7.74252e-05,0,6.10601e-05,0.000111064,0.000259476,0.000190118,0,0,9.72745e-05,4.93858e-05,0,9.6904e-05,9.2252e-05,0,6.2202e-05,0.000153015,0,2.80115e-05,0,4.09754e-05,0.000117649,0,0,0,3.19592e-05,2.53377e-05,0.000102305,4.35215e-05,6.16194e-05,0,0,0.000132457,5.04599e-05,0,3.14938e-05,0.000100619,0,4.7603e-05,8.31446e-05,3.87737e-05,0,0,5.02364e-05,0.00022849,4.48687e-05,3.67826e-05,0.000139305,3.29308e-05,7.65045e-05,0.000157107,3.10381e-05,0.000164575,3.37555e-05,0,0.000119013,9.22886e-05,7.54168e-05,0.000128326,0.000130841,0,7.29261e-05,0.000200289,0,0,0.000103292,0,6.80452e-05,0.000215706,4.84454e-05,0.000198274,5.37288e-05,8.4236e-05,0,0.000172053,0.0001804,3.02206e-05,4.97543e-05,7.83712e-05,0.000476195
"PWY-5101: L-isoleucine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5103: L-isoleucine biosynthesis III",0.000347948,0.00023149,0.000333126,0.000460915,0.000346042,0.000420887,0.000301924,0.000513827,0.000301239,0.000273379,0.0003229,0.000341778,0.000185012,0.000260441,0.000199584,0.000504091,9.36801e-05,0.000264333,0.000277183,0.000379648,0.000329031,0.00029302,0.000364088,0.00032936,0.000393988,0.000323041,0.000403578,0.000355795,0.000503972,0.000269205,0.000758818,0.000234499,0.000316641,0.000187806,0.000244824,0.000280576,0.00131875,0.000156888,0.000309689,0.000388937,0.000913054,0.000162167,0.000211673,0.000260687,0.000350808,0.000841689,0.000282458,0.000262168,0.000432059,0.000361367,0.000346046,0.000279653,0.000307763,0.000366481,0.000286745,0.000267711,0.000549153,0.00018391,0.000316327,0.000218046,0.000266168,0.00038652,0.000317071,0.000344011,0.000494989,0.000381228,0.000311932,0.000387514,0.000241833,0.000405436,0.000287461,0.000353756,0.000362879,0.000426532,0.00045161,0.000273086,0.000370737,0.000229428,0.00043375
"PWY-5104: L-isoleucine biosynthesis IV",0,0,3.45576e-05,0.000159458,0,0,0,0,5.37589e-05,0,0,6.29996e-05,0,0,0,0,0,0,0,0,5.81448e-05,3.605e-05,0,0,0,0,0.000177408,0,0,0,0,0.000110812,0.00010344,0,0,5.69463e-05,0,0,3.95007e-05,0,0,0,0,0,0,0,0,0,3.5947e-05,0.000115806,0,3.30832e-05,0,0,3.35946e-05,0,3.94574e-05,0,0,0,0,6.94867e-05,0,0,0,0,5.37912e-05,0,3.5268e-05,0,0,0,0,6.07994e-05,0,0,0,3.86373e-05,0
"PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0.000238521,0,8.5433e-05,0.000130364,0.000116247,2.65204e-05,0.000222362,0,0.000109073,0.000315594,9.25198e-05,9.76809e-05,0.000138756,8.01271e-05,0,0,5.8998e-05,0.000114486,0,0.000233801,0.000115953,8.73022e-05,0,0.00016557,0,0.000305657,0.00027349,0.000158908,0.000135283,0.000110767,0,0.000263827,0.000220328,0.000170168,0,0.000143112,0,0.000145338,0.000345985,0,0,0.00012886,0.000108559,0.000151326,0.000107596,0,0.000155683,0.000158132,0.00020848,0.00013229,0.00015143,5.22145e-05,0.000103777,0.000164178,4.8427e-05,7.82548e-05,0.000371443,9.12186e-05,0.000111443,0,0,0.000236937,0.000157089,0,0.00012045,0,9.50775e-05,0.000107961,8.57594e-05,9.75097e-05,0.000188132,0,0,0.000111282,0.00018646,0.000268293,0,0.000132445,0
"PWY-5130: 2-oxobutanoate degradation I",0,0,0.000320764,0.000118109,0,0,5.40285e-05,0,6.48996e-05,0,0.000135707,4.68043e-05,0,0.000120162,5.96483e-05,0,0,6.57705e-05,0,9.74594e-05,0,0.000101189,0,0,7.93485e-05,0.000140589,0,5.32566e-05,4.85841e-05,9.92363e-05,0,0,0,0,3.02692e-05,0,0,0,0,0,0,0,4.02914e-05,3.43202e-05,0,0,0,0,5.01458e-05,0.000385315,0,0,0,7.37965e-05,0,0,4.83963e-05,0,0,0.000102394,0,0,0.000106063,0,8.60667e-05,9.56257e-05,0,0,0.000117607,0,0,0.000135802,0.000111486,0,0,4.04847e-05,0,0,0
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)",0.000143984,0,0,0.000246065,0.000521537,0.000595136,0,0.000708927,9.91784e-05,0,0,0.000118525,2.51867e-05,0,0,0,0,0,0,2.25383e-05,0,3.39843e-05,2.6762e-05,0,0,0,0.000230202,0,0,0,0,7.78012e-05,0.000168496,4.59556e-05,2.06606e-05,0.00013786,0,0,2.28122e-05,2.65895e-05,0,0,2.17219e-05,0,0,1.84238e-05,0,3.33568e-05,0,0.000136301,0,0.000105321,7.16628e-05,0,0,0,0,7.72534e-05,0,0,0,6.14323e-05,0,0,0,0,0,0.000475768,0,0.00011624,2.09899e-05,1.39393e-05,0,0.000258941,0.000145102,4.41303e-05,0,0,2.19115e-05
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",6.05723e-05,0,0,8.64456e-05,0.000141298,0.000464939,0,0.000637804,0,0,0,2.52481e-05,0,0,0,0,0,0,0,0,0,2.63339e-05,0,0,0,0,0.000108064,0,0,0,0,3.39563e-05,6.85377e-05,0,0,4.41881e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67987e-05,0,7.16107e-05,0,0,0,0,0,5.0069e-05,0,0,0,2.52198e-05,0,9.43801e-06,0,0,0,0.000233204,0,2.97314e-05,0,0,0,0.000175818,0,0,0,0,0
