"","SRR6915091_merged_Abundance","SRR6915092_merged_Abundance","SRR6915093_merged_Abundance","SRR6915094_merged_Abundance","SRR6915095_merged_Abundance","SRR6915096_merged_Abundance","SRR6915097_merged_Abundance","SRR6915098_merged_Abundance","SRR6915099_merged_Abundance","SRR6915100_merged_Abundance","SRR6915101_merged_Abundance","SRR6915102_merged_Abundance","SRR6915113_merged_Abundance","SRR6915115_merged_Abundance","SRR6915116_merged_Abundance","SRR6915118_merged_Abundance","SRR6915119_merged_Abundance","SRR6915120_merged_Abundance","SRR6915121_merged_Abundance","SRR6915122_merged_Abundance","SRR6915123_merged_Abundance","SRR6915124_merged_Abundance","SRR6915137_merged_Abundance","SRR6915138_merged_Abundance","SRR6915139_merged_Abundance","SRR6915140_merged_Abundance","SRR6915141_merged_Abundance","SRR6915142_merged_Abundance","SRR6915143_merged_Abundance","SRR6915144_merged_Abundance","SRR6915145_merged_Abundance","SRR6915146_merged_Abundance","SRR6915157_merged_Abundance","SRR6915158_merged_Abundance","SRR6915159_merged_Abundance","SRR6915160_merged_Abundance","SRR6915161_merged_Abundance","SRR6915162_merged_Abundance","SRR6915163_merged_Abundance","SRR6915164_merged_Abundance","SRR6915165_merged_Abundance","SRR6915166_merged_Abundance","SRR6915188_merged_Abundance","SRR6915189_merged_Abundance","SRR6915190_merged_Abundance","SRR6915191_merged_Abundance","SRR6915192_merged_Abundance","SRR6915193_merged_Abundance","SRR6915194_merged_Abundance","SRR6915201_merged_Abundance","SRR6915202_merged_Abundance","SRR6915203_merged_Abundance","SRR6915204_merged_Abundance","SRR6915205_merged_Abundance","SRR6915206_merged_Abundance","SRR6915207_merged_Abundance","SRR6915208_merged_Abundance","SRR6915209_merged_Abundance","SRR6915210_merged_Abundance","SRR6915211_merged_Abundance","SRR6915212_merged_Abundance","SRR6915213_merged_Abundance","SRR6915214_merged_Abundance","SRR6915215_merged_Abundance","SRR6915216_merged_Abundance","SRR6915217_merged_Abundance","SRR6915218_merged_Abundance","SRR6915219_merged_Abundance","SRR6915220_merged_Abundance","SRR6915221_merged_Abundance","SRR6915222_merged_Abundance","SRR6915223_merged_Abundance","SRR6915224_merged_Abundance","SRR6915225_merged_Abundance","SRR6915226_merged_Abundance","SRR6915227_merged_Abundance","SRR6915228_merged_Abundance","SRR6915229_merged_Abundance","SRR6915230_merged_Abundance"
"PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)",0,0,0,0,2.39685e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36643e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22344e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46076e-07,0,0,0,0,1.47125e-06,0,0,1.75021e-06,0,0,0,0,0,7.35367e-06,0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.000166371,4.78861e-05,2.83987e-05,0.000169049,0,1.12135e-05,1.23085e-05,1.24135e-06,7.12453e-05,2.91322e-06,1.46485e-05,0.000121596,5.64035e-05,2.47742e-05,1.62664e-06,1.1642e-06,2.55074e-05,2.15722e-06,0.000115524,7.32084e-05,4.47748e-05,5.77199e-05,8.05299e-05,1.91583e-06,1.57735e-05,2.14737e-05,0.000150703,0,0.000144762,0,6.33423e-05,0.000142678,0.000164103,4.96703e-05,6.45291e-05,0.000155591,0,7.81134e-05,5.73567e-05,2.55872e-05,5.31529e-06,2.3675e-05,5.03278e-05,0.000101641,1.87645e-06,2.51639e-05,5.97662e-05,6.35962e-05,5.87093e-05,0.000155164,5.08547e-06,0.000112015,0.000105608,2.35342e-06,0.000178232,2.93168e-05,2.73844e-05,0.000115748,3.15329e-05,3.23725e-05,1.70275e-05,0.000104469,1.31196e-05,7.35094e-05,6.23296e-05,3.94397e-05,9.86568e-05,2.84526e-05,1.75274e-05,0.000198933,9.77421e-05,3.44467e-05,3.6391e-05,0.000187319,3.18771e-05,3.29456e-05,6.75843e-05,3.88601e-05,8.81295e-05
"PWY-2941: L-lysine biosynthesis II",0.00012832,5.98368e-05,4.76205e-05,0.00024846,7.74184e-05,0,5.23642e-05,7.32356e-06,3.96948e-05,0.000157659,5.26085e-05,0.000150447,9.23564e-05,0.000370925,5.53644e-05,0.0001085,0.000102854,0.000124681,6.63702e-05,6.98151e-05,0.00012666,5.74347e-05,7.27632e-05,0.000107379,4.82542e-05,2.93004e-05,6.11578e-05,0.000128478,0.000100317,4.43029e-05,2.26881e-05,0.000163208,8.74175e-05,0.000156556,7.24991e-05,0.000182607,2.45285e-05,4.13677e-05,7.23401e-05,4.59149e-05,1.35876e-05,5.51489e-05,5.16926e-05,0.000148968,0.000104265,6.91095e-05,0.000134798,8.4334e-05,0.00020765,0.000112412,0.000102886,7.9569e-05,7.20327e-05,7.47807e-05,8.60531e-05,6.48803e-05,0.000114593,0.00010673,5.83625e-05,7.72671e-05,4.89189e-05,0.000107021,9.28678e-05,0.000126539,8.36525e-05,1.3654e-05,2.49036e-05,0.000249588,9.52136e-05,0.000105446,0.000156028,5.7223e-05,8.83048e-05,8.99316e-05,0.000112609,5.69703e-05,2.38478e-05,8.26623e-05,0.000521804
"PWY-2942: L-lysine biosynthesis III",0.000378421,0.000470461,0.000369215,0.0004576,0.000334138,0.000405346,0.000387292,0.000373274,0.00034306,0.000349856,0.000455996,0.000365072,0.000224548,0.000452319,0.0004103,0.000522455,0.000676937,0.000420008,0.000385103,0.000468766,0.000394503,0.00035243,0.000421358,0.000314778,0.000416431,0.000485773,0.00033474,0.000424746,0.000438887,0.000466087,0.000344254,0.000337625,0.000285984,0.000329743,0.000310181,0.000283934,0.00136073,0.000516193,0.000359463,0.000446973,0.000644956,0.000477536,0.000459011,0.000426191,0.000447839,0.000411587,0.000430657,0.000380329,0.000419815,0.000458333,0.000358561,0.000267522,0.000353596,0.000449326,0.000395266,0.000502896,0.000507766,0.000302396,0.000432104,0.000355241,0.000298251,0.00033233,0.000340811,0.000427556,0.000463118,0.000516549,0.000366929,0.000423878,0.000329501,0.0004199,0.000338318,0.000336369,0.000443464,0.000407086,0.00040341,0.00037896,0.00028606,0.000350176,0.000616528
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.000337003,0.000282274,0.000256475,0.000332943,0.000358357,0.000504118,0.000309149,0.000533864,0.000301151,0.000284556,0.000274878,0.000326721,0.00016023,0.000266339,0.000285702,0.000218815,0.000336131,0.000278276,0.000356223,0.000346918,0.00031942,0.000241683,0.000283229,0.000299586,0.000313154,0.000394586,0.000359092,0.000255262,0.000419739,0.000296055,0.000166497,0.000338248,0.00031049,0.000181266,0.000248378,0.000250325,0.000131729,0.000306291,0.000348249,0.000327327,0.00012877,0.000289601,0.000336989,0.000373787,0.000355507,0.000240446,0.000363732,0.000317327,0.00031596,0.000257861,0.000290016,0.000313016,0.000309836,0.000356752,0.000337798,0.000334499,0.000273372,0.000340158,0.000278864,0.000285954,0.000333145,0.000385945,0.000304983,0.000270757,0.000350487,0.000232919,0.000332162,0.00042321,0.000270777,0.00044038,0.0003313,0.000254438,0.000330822,0.000373168,0.000258606,0.000336439,0.000261758,0.000343213,0.000614013
"PWY-3781: aerobic respiration I (cytochrome c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3801: sucrose degradation II (sucrose synthase)",6.97821e-05,0,0,0,3.1292e-05,0.000280535,0,3.83936e-05,0,0,0,0,1.05682e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4515e-06,0,0,0,0,0,0,0,0,0,0,8.744e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13479e-06,5.94474e-06,0,0,0,0,0,0,4.85013e-06,0,0,4.72311e-05
"PWY-3841: folate transformations II (plants)",0.000401719,0.00066257,0.000570864,0.000340185,0.000273017,0.000368683,0.000539657,0.000338972,0.000410688,0.00037599,0.000556057,0.000390025,0.000337707,0.000380823,0.00059334,0.000576703,0.000669724,0.000505441,0.000570071,0.000570749,0.00046424,0.000432215,0.000433923,0.000636396,0.000495761,0.000545134,0.000333591,0.000479847,0.000521628,0.000583748,0.000351103,0.000333254,0.000235756,0.000312614,0.000385418,0.000253146,0.000816284,0.000528473,0.000399221,0.000531541,0.000531299,0.000535407,0.0005571,0.000487037,0.000562313,0.000411165,0.000472147,0.000486868,0.000479349,0.00056998,0.0004516,0.000363372,0.000378251,0.000564745,0.000520217,0.000672315,0.000577915,0.000414429,0.000556833,0.000478133,0.0005257,0.000317763,0.000499429,0.000570843,0.000617389,0.000754185,0.000358523,0.000333045,0.000495213,0.000373779,0.000401456,0.000407535,0.000575444,0.000346395,0.000462376,0.000402708,0.000489089,0.000500376,0.000583999
"PWY-4041: &gamma;-glutamyl cycle",0.000205853,3.6703e-05,2.10278e-05,0.000230765,0.000415445,0.000448439,6.349e-05,0.000432182,7.335e-05,9.22295e-05,8.65643e-05,0.00017503,4.55667e-05,4.28627e-05,3.74864e-05,1.10336e-05,2.2436e-05,7.54777e-05,5.5483e-05,0.000155814,0.000103574,5.28786e-05,9.75914e-05,4.408e-05,3.06513e-05,2.98764e-05,0.000257191,7.84168e-05,0.000102885,2.86818e-05,4.72469e-05,0.000226682,0.000268531,6.11766e-05,6.0652e-05,0.000225971,2.38445e-06,7.31268e-05,4.51938e-05,4.9084e-05,7.96778e-06,3.23847e-05,5.42328e-05,0.000111534,4.00934e-05,3.79387e-05,0.000103669,0.000122183,6.96696e-05,0.000177229,0.000145664,0.000121777,7.24292e-05,2.75009e-05,5.43657e-05,4.39548e-05,2.81351e-05,0.000125484,3.01726e-05,4.37587e-05,2.54155e-05,0.000134352,1.87326e-05,6.87111e-05,0.000110649,2.29392e-05,7.42495e-05,0.000418874,2.15084e-05,0.000228215,0.00010505,2.78923e-05,2.57095e-05,0.000240517,0.000100509,7.56801e-05,1.15941e-05,0.000106601,0.000205061
"PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",0,0,0,0,7.95585e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57632e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4702: phytate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4984: urea cycle",0.000348018,6.05022e-05,0.000143062,0.000308128,2.36174e-05,3.33206e-06,0.000197603,0,0.000166977,0.000212455,0.000188589,0.000194617,0.00018649,0.000144825,0.000109199,9.14436e-05,0.000618529,0.000127576,6.05511e-05,0.000252656,0.000199365,0.00012865,0.00025634,0.000146595,0.000221225,0.000340185,0.00016526,0.000108156,0.00042775,0.000113628,7.91457e-05,0.000235635,0.000104072,0.000131476,0.000124195,1.40921e-05,1.33599e-05,0.000190595,0.000132916,7.7174e-05,6.88739e-05,0.000142504,0.00016185,0.000295957,0.000185615,8.99846e-05,0.000316607,0.000218765,0.000212951,5.75562e-05,0.000197342,0.000136254,0.000138642,0.000254325,0.000108767,0.000187907,0.000143309,0.000152697,0.000161937,0.000145276,6.60156e-05,0.000128655,0.000145493,3.02485e-05,0.00024829,3.07078e-05,0.000138105,4.42468e-06,0.000203815,0.000132336,0.00037677,0.00013154,0.000115519,7.88933e-05,0.000238123,6.07974e-05,2.10375e-05,0.000234631,5.98643e-05
"PWY-5004: superpathway of L-citrulline metabolism",0,0,5.74405e-06,1.21873e-06,0,0,9.3127e-06,0,0,0,3.22227e-06,1.30321e-05,9.60872e-06,2.50533e-06,3.90623e-06,1.19138e-05,0,7.51507e-06,1.63642e-05,0,4.62893e-06,4.15225e-05,1.289e-05,1.02423e-05,0,0,0,9.97868e-06,0,1.65381e-05,2.20812e-06,0,0,2.86181e-06,0,0,0,1.24625e-05,0,3.65313e-06,1.04959e-05,0,8.60269e-06,5.53e-06,0,3.3674e-06,4.61298e-06,1.74871e-06,0,2.66057e-05,5.01615e-06,1.20839e-05,8.51233e-06,0,1.83867e-05,1.08262e-05,0,9.45443e-06,8.2787e-06,2.50095e-06,1.65896e-05,1.82906e-06,1.46701e-05,4.06612e-05,0,1.62741e-05,1.58394e-05,2.22813e-06,3.21266e-05,0,0,6.91309e-06,1.22434e-05,2.29371e-05,0,2.10218e-06,1.87075e-06,0,0
"PWY-5005: biotin biosynthesis II",7.34906e-06,9.62557e-06,0,0,0,7.38329e-06,5.77439e-05,4.53788e-07,1.27175e-05,2.73818e-05,1.20387e-05,1.82252e-06,9.96173e-06,7.70039e-05,3.41061e-05,5.51481e-05,1.36341e-05,1.23812e-05,3.8276e-05,2.04065e-05,3.69688e-06,0,0,3.18399e-05,7.68041e-06,4.76264e-06,3.52054e-06,2.37423e-05,3.59658e-05,6.72888e-06,4.92465e-06,3.9137e-05,4.64884e-06,3.65308e-06,9.97971e-06,2.72308e-05,0,2.23077e-05,1.23709e-05,2.19129e-05,3.2041e-06,1.30508e-05,7.99794e-06,3.88766e-05,1.76517e-05,8.25973e-05,4.13305e-05,3.5366e-05,0,0,5.8654e-05,2.16942e-05,1.88251e-05,2.9358e-06,0,0,5.83869e-06,2.4574e-05,0,0,0,3.8917e-05,1.17173e-05,3.32818e-06,1.95225e-05,1.26656e-05,0,0,3.4854e-05,1.67117e-05,6.42736e-06,3.6365e-05,8.16921e-05,9.00516e-07,4.25346e-05,2.7071e-05,9.43747e-06,7.4315e-05,2.82389e-05
"PWY-5022: 4-aminobutanoate degradation V",0.000130213,5.02475e-06,1.86253e-05,2.8542e-05,0,0,6.50137e-06,0,2.595e-05,8.32536e-05,1.46442e-05,6.44103e-05,5.27062e-05,1.88056e-05,5.13464e-05,1.0462e-05,4.49996e-06,6.36516e-05,6.00473e-06,1.03388e-05,5.53656e-05,6.84332e-05,0,3.01614e-06,3.99754e-05,7.33012e-06,0.000139838,6.93441e-05,5.58492e-05,3.19935e-06,3.8274e-05,7.66998e-05,5.23942e-05,0,2.96418e-05,0.00010383,0,1.10034e-05,2.89269e-05,9.32352e-05,1.88988e-06,2.60324e-05,3.67551e-05,4.64118e-06,9.87949e-06,1.79009e-05,5.10002e-06,1.97112e-05,5.65097e-05,9.43137e-05,9.90447e-06,0,6.54784e-05,2.12618e-06,5.91403e-06,1.50691e-05,2.87424e-05,6.09557e-05,7.40515e-06,1.09638e-05,6.91764e-06,3.44325e-05,6.30667e-05,2.56111e-05,2.9352e-05,7.74316e-06,2.50502e-05,0,1.58525e-05,3.86909e-05,3.29027e-05,1.83101e-05,0,0.000110486,4.93301e-05,6.56671e-05,5.1401e-06,2.37537e-05,2.656e-05
"PWY-5028: L-histidine degradation II",0,0,0,0,8.11319e-07,0,0,5.0285e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5030: L-histidine degradation III",0.000260523,0.000115334,0.0004384,0,0,0,0.000173696,0,0.000145687,0.000482444,0.000332412,0.000175601,9.65693e-05,0.00034079,0.000135869,5.78411e-05,0.000520245,0.000256766,0.00013662,0.000375902,0.000130498,0.000238958,0.000229852,0.000344358,0.000267106,0.000376947,0.000164861,0.000263021,0.00024819,0.000212413,7.02714e-05,0.000230134,0.000185913,0.000196278,0.00014791,8.12472e-05,1.77392e-05,0.000150672,0.000398874,0.000149997,8.78188e-05,0.000151109,0.000191433,0.000140608,0.000274754,7.98958e-05,0.000155648,0.000162961,0.000276498,0.000485504,0.00052198,0.000193189,0.000158412,0.000280018,9.46695e-05,0.000135781,0.000534211,0.000166026,0.000114501,0.000145833,4.48789e-05,0.000125029,0.000224317,5.32847e-05,0.000201151,0.00014397,0.000172272,0,0.000341706,0.000106423,0.000195136,0.000145209,0.000209588,4.26181e-05,0.000468127,0.000172452,9.9866e-06,0.000223368,3.1086e-05
"PWY-5055: nicotinate degradation III",1.22783e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91511e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35207e-07,0,0,0,0,0,0,0,0,0,0
"PWY-5079: L-phenylalanine degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5080: very long chain fatty acid biosynthesis I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5088: L-glutamate degradation VIII (to propanoate)",0,0,9.80084e-07,2.20979e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45644e-06,8.4084e-06,0,0,0,8.46974e-06,0,0,0,0,0,4.96835e-07,0,1.43865e-06,8.85895e-06,0,6.77412e-07,5.29891e-06,0,0,0,1.44263e-06,0,0,0,0,0,4.13605e-06,6.44593e-06,0,0,0,0,0,0,0,0,0,0,0,1.17673e-05,0,9.3273e-06,0,0,5.2975e-06,0,2.72724e-06,0,0,0,0,0,5.04456e-07,0,0,0,0
"PWY-5097: L-lysine biosynthesis VI",0.000386024,0.000484468,0.000483034,0.000458262,0.000334029,0.000417721,0.000479243,0.00039068,0.00037603,0.000384962,0.00050511,0.000368759,0.000243904,0.000464012,0.000470609,0.000557833,0.000675018,0.00041622,0.000536349,0.000481819,0.000413558,0.000363017,0.000421154,0.000319894,0.000442058,0.000542387,0.00036394,0.000432028,0.000475206,0.000476053,0.000372772,0.000365135,0.00035927,0.000303863,0.000385846,0.000280928,0.00129598,0.000563892,0.000410971,0.000483195,0.000658155,0.000498528,0.000495414,0.000513852,0.000498755,0.000437371,0.000499709,0.000493111,0.000470294,0.000327581,0.000392407,0.000295668,0.00037837,0.000461101,0.000463874,0.000549363,0.000558025,0.000335043,0.000467145,0.000399608,0.000341487,0.00037718,0.000424497,0.000434653,0.000456751,0.000545721,0.000434992,0.000415504,0.000414269,0.000439379,0.000321592,0.000395582,0.000468297,0.000404182,0.000432449,0.000529437,0.000318345,0.000408863,0.000587917
"PWY-5100: pyruvate fermentation to acetate and lactate II",0.000135818,0.000108164,8.55423e-05,0.000133771,0.000247118,0.000189622,6.37359e-05,1.18775e-05,0.000166077,0.000136289,7.3678e-05,0.000208911,0.000146878,6.99312e-05,0.000149533,0.000173757,0.000104974,0.000113656,0.000168785,0.000129955,0.000172908,7.14571e-05,5.12269e-05,7.49327e-05,8.21528e-05,7.58261e-05,0.000140115,0.000100049,0.000184818,7.88769e-05,9.41741e-05,0.000173637,0.000117114,5.12658e-05,0.000104934,0.000125734,7.09192e-05,0.000113962,0.000186613,9.09462e-05,7.94051e-05,0.000113584,0.000201412,0.000308579,0.000119752,0.000131925,0.000305988,0.00018699,0.000121638,0.000145553,6.99677e-05,0.000218927,0.000142427,0.000152237,0.000239199,0.000215862,8.23681e-05,0.000242569,0.000195717,0.000110207,0.000151247,0.000237377,3.8961e-05,0.000119209,0.00014532,9.3075e-05,0.000158733,0.000246089,0.000121664,0.000280524,0.00011274,0.000135254,0.000134779,0.000210532,0.000186971,9.52811e-05,0.00018283,0.00015114,0.000611952
"PWY-5101: L-isoleucine biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5103: L-isoleucine biosynthesis III",0.000314992,0.000410993,0.00046372,0.000532158,0.000384221,0.000472681,0.000447053,0.000541342,0.000371599,0.000329936,0.000441868,0.000439565,0.000223117,0.000342355,0.000432938,0.000650545,0.000307831,0.000503648,0.000451568,0.000500133,0.000443849,0.000373815,0.000355541,0.000403843,0.000478088,0.000392317,0.00037201,0.00047366,0.000557308,0.000371151,0.000703715,0.000362109,0.000337407,0.000274249,0.000351129,0.000357925,0.0020789,0.000244247,0.000383191,0.000476591,0.00104295,0.00035026,0.000416934,0.000452296,0.000447298,0.000711669,0.000442587,0.00037281,0.00047652,0.00041379,0.000373283,0.000341991,0.000407792,0.000500318,0.000476424,0.000496468,0.000538026,0.000364201,0.000485252,0.00040465,0.000434589,0.000433513,0.000368947,0.000477118,0.000623597,0.000381379,0.000505855,0.000375058,0.000410369,0.00047438,0.000390858,0.00048969,0.000505998,0.000494118,0.000467607,0.000382026,0.000454733,0.000367078,0.000639594
"PWY-5104: L-isoleucine biosynthesis IV",1.80922e-05,0,6.74152e-06,0.000167505,0,0,2.20652e-06,0,4.89168e-05,0,0,6.15676e-05,1.48004e-05,8.79292e-06,0,9.7763e-07,3.72536e-06,1.77581e-06,8.85653e-06,0,5.24151e-06,3.87782e-05,4.76096e-05,0,7.00289e-06,3.72355e-06,0.000186557,0,0,0,4.37914e-05,0.00011823,0.000128416,1.85772e-05,2.20062e-05,6.19809e-05,0,8.27575e-07,2.70928e-05,8.8952e-06,2.43093e-06,6.25324e-06,1.47593e-05,0,0,1.1904e-06,0,6.98121e-06,6.04547e-06,0.000103166,1.08092e-06,6.55297e-06,4.002e-05,0,2.42548e-06,8.74371e-07,1.75262e-05,5.94078e-06,2.64189e-06,0,0,6.41881e-05,0,2.28405e-05,0,1.0481e-05,1.58287e-05,0,6.19355e-06,3.0663e-05,2.49913e-05,1.95648e-06,0,6.16651e-05,5.65962e-06,8.70038e-07,4.7123e-06,1.18544e-05,2.74624e-05
"PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0.00025813,2.25144e-05,0.000122189,0.000112811,0.000139233,3.24067e-05,0.000212523,1.51396e-05,0.000157776,0.000368312,0.000141061,0.000154844,0.000131889,0.000155587,6.7594e-05,2.78248e-05,8.70221e-05,0.00017196,2.96271e-05,0.000277081,0.000147053,0.000115059,0.000100624,0.000209216,7.23223e-05,0.000348279,0.000290179,0.000174498,0.000141562,0.000108548,3.41856e-05,0.000309671,0.0002422,0.000197646,0.00011213,0.000146586,1.26165e-05,0.000126705,0.000428738,6.61536e-05,3.49036e-05,0.000120751,0.0001188,0.000126107,0.000115602,3.51017e-05,0.000147698,0.000174717,0.000246526,0.000130856,0.000181372,0.000120052,0.000137751,0.000163166,9.11401e-05,9.57566e-05,0.000335596,0.000129151,0.000105119,8.10678e-05,4.39055e-05,0.000271685,0.000212108,3.4811e-05,0.000139114,1.54906e-05,0.000158477,0.000153928,9.96856e-05,0.000120919,0.000203909,5.28724e-05,6.15733e-05,0.000166016,0.000230073,0.000305518,9.87292e-06,0.000143472,8.45766e-05
"PWY-5130: 2-oxobutanoate degradation I",1.28254e-05,5.44877e-06,0.000328901,0.000147657,0,2.90107e-05,5.7644e-05,0,5.8415e-05,1.24446e-05,0.000133868,8.10107e-05,7.29652e-06,0.000146096,3.93073e-05,1.20181e-05,6.13638e-06,3.55839e-05,4.18877e-05,0.000112144,1.05057e-05,0.000112456,7.26578e-05,4.07637e-06,5.75495e-05,0.000157718,5.17953e-06,3.43729e-05,4.71592e-05,8.16633e-05,2.4315e-05,9.85618e-06,2.50382e-06,3.32197e-05,4.7681e-05,3.82797e-06,0,1.33342e-05,4.38196e-06,4.94813e-05,3.26419e-05,3.32887e-05,5.10643e-05,4.96002e-05,4.46038e-05,0,5.22534e-05,4.97809e-05,7.89765e-05,0.000422715,8.64752e-06,2.34382e-05,4.31096e-05,0.00010994,4.61229e-05,4.38741e-05,9.79767e-05,3.04781e-05,3.39923e-05,9.864e-05,1.57824e-05,7.99956e-06,7.8408e-05,6.27721e-06,8.89031e-05,6.1458e-05,6.48965e-05,0,0.000123715,1.82033e-06,5.51692e-06,0.000127944,0.000111022,2.73477e-06,5.29543e-05,5.81386e-05,0,3.46525e-05,1.28631e-05
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)",0.000156839,1.13587e-05,2.40845e-05,0.000261792,0.000548965,0.000647783,0,0.000769094,9.3996e-05,1.38204e-05,1.09463e-05,0.000122432,8.12382e-05,3.00589e-05,9.41363e-06,1.27869e-05,3.48874e-05,5.92206e-06,2.80194e-05,2.70957e-05,5.19175e-05,6.00323e-05,0.000118309,1.22955e-05,3.99617e-05,1.14258e-05,0.000239445,9.35059e-06,2.90095e-05,2.85797e-06,5.35797e-05,0.000117143,0.000174592,6.81902e-05,4.90323e-05,0.000139768,0,1.91972e-05,5.71566e-05,3.98899e-05,4.83242e-06,6.37831e-06,5.46019e-05,9.63812e-06,1.74601e-05,3.24305e-05,7.90029e-06,2.73865e-05,5.90771e-05,0.000201433,0,0.000106153,0.000103607,6.80329e-06,1.35613e-05,1.72278e-05,4.09532e-05,9.78033e-05,1.6365e-05,8.4743e-06,1.46527e-05,7.75243e-05,3.24448e-06,7.59181e-05,1.03456e-05,9.14038e-06,3.82264e-05,0.00052129,3.53392e-05,0.000147793,6.6514e-05,5.85738e-05,0,0.000268363,0.000114909,1.56464e-05,7.01898e-06,7.77402e-05,4.99544e-05
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",4.79002e-05,0,6.4211e-06,8.90415e-05,0.000149745,0.000452471,0,0.000622542,3.56404e-05,0,3.82905e-06,4.0544e-05,1.36366e-05,1.76098e-05,0,0,0,0,4.34319e-06,0,2.40282e-05,2.23408e-05,3.74615e-05,0,4.15723e-06,0,0.000120201,0,0,0,1.20444e-05,5.22333e-05,7.92204e-05,5.81162e-06,9.0711e-06,5.41132e-05,0,5.53555e-06,1.50973e-05,3.05957e-06,0,1.24364e-06,9.67441e-06,0,1.06521e-06,6.4469e-06,0,6.11523e-06,3.20079e-05,7.82621e-05,0,7.15439e-05,1.5638e-05,0,0,3.55457e-07,1.76448e-05,5.71094e-05,0,0,0,3.25202e-05,1.23151e-06,3.18706e-05,0,3.9311e-06,8.46243e-06,0.000257771,5.74035e-06,2.96908e-05,1.13433e-05,1.0953e-05,0,0.0001729,5.66782e-06,4.72466e-06,1.49762e-06,4.36083e-06,1.99124e-05
